16-Nov-2021 13:58:13  | FRM | ### | ----------------------------------------------------------------------------
16-Nov-2021 13:58:13  | FRM | ### | LMEx Framework Version: 4.0.0.12
16-Nov-2021 13:58:13  | FRM | ### | LMEx 32Bit
16-Nov-2021 13:58:13  | FRM | ### | LMEx Sensor Version: 1.1.11.2
16-Nov-2021 13:58:13  | FRM | ### | User: AME2RT
16-Nov-2021 13:58:13  | FRM | ### | User level: EXTENDED
16-Nov-2021 13:58:13  | FRM | ### | Test bench         : CANONLY
16-Nov-2021 13:58:13  | FRM | ### | Host name          : RT-Z0AID
16-Nov-2021 13:58:13  | FRM | ### | Unibox Id          : 100
16-Nov-2021 13:58:13  | FRM | ### | Mainboard Number   : -1
16-Nov-2021 13:58:13  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
16-Nov-2021 13:58:13  | FRM | ### | Final file path    : \\bosch.com\dfsrb\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007615_8D-21-643\03-Testing_on_AppBoard(2)\4664-4666_FA
16-Nov-2021 13:58:13  | FRM | ### | Temporary file path: c:\TempMessdaten\\20211116135813\
16-Nov-2021 13:58:13  | FRM | ### | Movejob: deactivated
16-Nov-2021 13:58:13  | FRM | ### | TDMS ByteOrder: BigEndian
16-Nov-2021 13:58:13  | FRM | ### | TDMS language: german
16-Nov-2021 13:58:13  | FRM | ### | ----------------------------------------------------------------------------
16-Nov-2021 13:58:13  | FRM | ### | Info: temporary saving active
16-Nov-2021 13:58:13  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
16-Nov-2021 13:58:13  | FRM | ### | 
16-Nov-2021 13:58:13  | FRM | ### | ----------------------------------------------------------------------------
16-Nov-2021 13:58:13  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
16-Nov-2021 13:58:13  | FRM | ### | ----------------------------------------------------------------------------
16-Nov-2021 13:58:13  | FRM | ### | 
16-Nov-2021 13:58:14  | FRM | ### | Sensor Pos=1 Nr=1
16-Nov-2021 13:58:14  | FRM | ### | Sensor Pos=2 Nr=4664
16-Nov-2021 13:58:14  | FRM | ### | Sensor Pos=3 Nr=4665
16-Nov-2021 13:58:14  | FRM | ### | Sensor Pos=4 Nr=4666
16-Nov-2021 13:58:14  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
16-Nov-2021 13:58:14  | FRM | ### | Test initializeded
16-Nov-2021 13:58:14  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
16-Nov-2021 13:58:16  | INF | ### | Paranoia power reset (TM)
16-Nov-2021 13:58:18  | SEN | 001 | module_id:6470
16-Nov-2021 13:58:18  | SEN | 001 | SNR:ab3d82c707011946
16-Nov-2021 13:58:18  | SEN | 001 | USNR:0000H6K123022070025KY
16-Nov-2021 13:58:19  | INF | ### | CRC 52051 crc read:52051
16-Nov-2021 13:58:19  | INF | ### | SensorNr1
16-Nov-2021 13:58:19  | INF | ### | 
16-Nov-2021 13:58:19  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
16-Nov-2021 13:58:21  | INF | ### | | RATE_X_wodrivewoCM        |      -0.05dps|  0.04dps  | DC <2dps, AC < 0.088dps |
16-Nov-2021 13:58:21  | INF | ### | | RATE_Y_wodrivewoCM        |       0.09dps|  0.05dps  | DC <2dps, AC < 0.088dps |
16-Nov-2021 13:58:21  | INF | ### | | RATE_Z_wodrivewoCM        |      -0.00dps|  0.04dps  | DC <2dps, AC < 0.088dps |
16-Nov-2021 13:58:22  | INF | ### | | Quad_X_wodrivewoCM        |       0.69dps|  0.22dps  | comment |
16-Nov-2021 13:58:22  | INF | ### | | Quad_Y_wodrivewoCM        |       1.12dps|  0.24dps  | comment |
16-Nov-2021 13:58:22  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.69dps|  0.80dps  | comment |
16-Nov-2021 13:58:26  | INF | ### | | CV_D_wodrivewoCM in TADC  |        4.45mV|   0.13mV  |  |
16-Nov-2021 13:58:27  | INF | ### | | CV_X_wodrivewoCM in TADC  |      -27.59mV|   0.28mV  |  |
16-Nov-2021 13:58:28  | INF | ### | | CV_Y_wodrivewoCM in TADC  |       -9.32mV|   0.34mV  |  |
16-Nov-2021 13:58:30  | INF | ### | | CV_Z_wodrivewoCM in TADC  |       17.81mV|   0.69mV  |  |
16-Nov-2021 13:58:31  | INF | ### | | RATE_X_wodrivewoCM_s30    |      -17.41mv|  -0.19mv  | pls compare it with CV_X_wodrivewoCM in TADC |
16-Nov-2021 13:58:31  | INF | ### | | RATE_Y_wodrivewoCM_s30    |      -21.10mv|   0.16mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
16-Nov-2021 13:58:31  | INF | ### | | RATE_Z_wodrivewoCM_s30    |       -1.13mv|  -0.30mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
16-Nov-2021 13:58:31  | INF | ### | | S30_CV_X_diff_wodrivewoCM |       10.18mv|   0.00mv  |  |
16-Nov-2021 13:58:31  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |      -11.77mv|   0.00mv  |  |
16-Nov-2021 13:58:31  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |      -18.94mv|   0.00mv  |  |
16-Nov-2021 13:58:33  | INF | ### | | RATE_X_wodrivewCM         |      -0.05dps|  0.04dps  | DC <2dps, AC < 0.1dps |
16-Nov-2021 13:58:33  | INF | ### | | RATE_Y_wodrivewCM         |       0.07dps|  0.06dps  | DC <2dps, AC < 0.1dps |
16-Nov-2021 13:58:33  | INF | ### | | RATE_Z_wodrivewCM         |       0.01dps|  0.04dps  | DC <2dps, AC < 0.1dps |
16-Nov-2021 13:58:35  | INF | ### | | CV_D_wodrivewCM in TADC   |        4.51mV|   0.16mV  |  |
16-Nov-2021 13:58:37  | INF | ### | | CV_X_wodrivewCM in TADC   |      -27.42mV|   0.31mV  |  |
16-Nov-2021 13:58:38  | INF | ### | | CV_Y_wodrivewCM in TADC   |       -9.59mV|   0.29mV  |  |
16-Nov-2021 13:58:40  | INF | ### | | CV_Z_wodrivewCM in TADC   |       17.60mV|   0.28mV  |  |
16-Nov-2021 13:58:40  | INF | ### | | CV_D_inTADC_diff          |        0.05mV|   0.00mV  | W/ CM minus W/O CM |
16-Nov-2021 13:58:40  | INF | ### | | CV_X_inTADC_diff          |        0.17mV|   0.00mV  | W/ CM minus W/O CM |
16-Nov-2021 13:58:40  | INF | ### | | CV_Y_inTADC_diff          |       -0.27mV|   0.00mV  | W/ CM minus W/O CM |
