16-Nov-2021 14:10:36  | FRM | ### | ----------------------------------------------------------------------------
16-Nov-2021 14:10:36  | FRM | ### | LMEx Framework Version: 4.0.0.12
16-Nov-2021 14:10:36  | FRM | ### | LMEx 32Bit
16-Nov-2021 14:10:36  | FRM | ### | LMEx Sensor Version: 1.1.11.2
16-Nov-2021 14:10:36  | FRM | ### | User: AME2RT
16-Nov-2021 14:10:36  | FRM | ### | User level: EXTENDED
16-Nov-2021 14:10:36  | FRM | ### | Test bench         : CANONLY
16-Nov-2021 14:10:36  | FRM | ### | Host name          : RT-Z0AID
16-Nov-2021 14:10:36  | FRM | ### | Unibox Id          : 100
16-Nov-2021 14:10:36  | FRM | ### | Mainboard Number   : -1
16-Nov-2021 14:10:36  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
16-Nov-2021 14:10:36  | FRM | ### | Final file path    : \\bosch.com\dfsrb\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007615_8D-21-643\03-Testing_on_AppBoard(2)\4667_FA
16-Nov-2021 14:10:36  | FRM | ### | Temporary file path: c:\TempMessdaten\\20211116141036\
16-Nov-2021 14:10:36  | FRM | ### | Movejob: deactivated
16-Nov-2021 14:10:36  | FRM | ### | TDMS ByteOrder: BigEndian
16-Nov-2021 14:10:36  | FRM | ### | TDMS language: german
16-Nov-2021 14:10:36  | FRM | ### | ----------------------------------------------------------------------------
16-Nov-2021 14:10:36  | FRM | ### | Info: temporary saving active
16-Nov-2021 14:10:36  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
16-Nov-2021 14:10:36  | FRM | ### | 
16-Nov-2021 14:10:36  | FRM | ### | ----------------------------------------------------------------------------
16-Nov-2021 14:10:36  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
16-Nov-2021 14:10:36  | FRM | ### | ----------------------------------------------------------------------------
16-Nov-2021 14:10:36  | FRM | ### | 
16-Nov-2021 14:10:36  | FRM | ### | Sensor Pos=1 Nr=1
16-Nov-2021 14:10:36  | FRM | ### | Sensor Pos=2 Nr=4667
16-Nov-2021 14:10:36  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
16-Nov-2021 14:10:36  | FRM | ### | Test initializeded
16-Nov-2021 14:10:36  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
16-Nov-2021 14:10:38  | INF | ### | Paranoia power reset (TM)
16-Nov-2021 14:10:40  | SEN | 001 | module_id:6470
16-Nov-2021 14:10:40  | SEN | 001 | SNR:ab3d82c707011946
16-Nov-2021 14:10:41  | SEN | 001 | USNR:0000H6K123022070025KY
16-Nov-2021 14:10:41  | INF | ### | CRC 52051 crc read:52051
16-Nov-2021 14:10:41  | INF | ### | SensorNr1
16-Nov-2021 14:10:41  | INF | ### | 
16-Nov-2021 14:10:41  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
16-Nov-2021 14:10:43  | INF | ### | | RATE_X_wodrivewoCM        |      -0.05dps|  0.04dps  | DC <2dps, AC < 0.088dps |
16-Nov-2021 14:10:43  | INF | ### | | RATE_Y_wodrivewoCM        |       0.09dps|  0.04dps  | DC <2dps, AC < 0.088dps |
16-Nov-2021 14:10:43  | INF | ### | | RATE_Z_wodrivewoCM        |      -0.00dps|  0.04dps  | DC <2dps, AC < 0.088dps |
16-Nov-2021 14:10:44  | INF | ### | | Quad_X_wodrivewoCM        |       0.73dps|  0.20dps  | comment |
16-Nov-2021 14:10:44  | INF | ### | | Quad_Y_wodrivewoCM        |       0.96dps|  0.20dps  | comment |
16-Nov-2021 14:10:44  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.78dps|  0.51dps  | comment |
16-Nov-2021 14:10:48  | INF | ### | | CV_D_wodrivewoCM in TADC  |        4.47mV|   0.13mV  |  |
16-Nov-2021 14:10:49  | INF | ### | | CV_X_wodrivewoCM in TADC  |      -27.70mV|   0.33mV  |  |
16-Nov-2021 14:10:51  | INF | ### | | CV_Y_wodrivewoCM in TADC  |       -9.00mV|   0.28mV  |  |
16-Nov-2021 14:10:52  | INF | ### | | CV_Z_wodrivewoCM in TADC  |       17.58mV|   0.58mV  |  |
16-Nov-2021 14:10:53  | INF | ### | | RATE_X_wodrivewoCM_s30    |      -17.36mv|  -0.14mv  | pls compare it with CV_X_wodrivewoCM in TADC |
16-Nov-2021 14:10:53  | INF | ### | | RATE_Y_wodrivewoCM_s30    |      -21.09mv|   0.16mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
16-Nov-2021 14:10:53  | INF | ### | | RATE_Z_wodrivewoCM_s30    |       -1.50mv|  -0.29mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
16-Nov-2021 14:10:53  | INF | ### | | S30_CV_X_diff_wodrivewoCM |       10.34mv|   0.00mv  |  |
16-Nov-2021 14:10:53  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |      -12.10mv|   0.00mv  |  |
16-Nov-2021 14:10:53  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |      -19.07mv|   0.00mv  |  |
16-Nov-2021 14:10:55  | INF | ### | | RATE_X_wodrivewCM         |      -0.03dps|  0.04dps  | DC <2dps, AC < 0.1dps |
16-Nov-2021 14:10:55  | INF | ### | | RATE_Y_wodrivewCM         |       0.09dps|  0.05dps  | DC <2dps, AC < 0.1dps |
16-Nov-2021 14:10:55  | INF | ### | | RATE_Z_wodrivewCM         |      -0.02dps|  0.04dps  | DC <2dps, AC < 0.1dps |
16-Nov-2021 14:10:58  | INF | ### | | CV_D_wodrivewCM in TADC   |        4.54mV|   0.12mV  |  |
16-Nov-2021 14:10:59  | INF | ### | | CV_X_wodrivewCM in TADC   |      -27.71mV|   0.30mV  |  |
16-Nov-2021 14:11:01  | INF | ### | | CV_Y_wodrivewCM in TADC   |       -9.34mV|   0.33mV  |  |
16-Nov-2021 14:11:02  | INF | ### | | CV_Z_wodrivewCM in TADC   |       17.64mV|   0.33mV  |  |
16-Nov-2021 14:11:02  | INF | ### | | CV_D_inTADC_diff          |        0.07mV|   0.00mV  | W/ CM minus W/O CM |
16-Nov-2021 14:11:02  | INF | ### | | CV_X_inTADC_diff          |       -0.01mV|   0.00mV  | W/ CM minus W/O CM |
