26-Nov-2021 13:42:18  | FRM | ### | ----------------------------------------------------------------------------
26-Nov-2021 13:42:18  | FRM | ### | LMEx Framework Version: 4.0.0.12
26-Nov-2021 13:42:18  | FRM | ### | LMEx 32Bit
26-Nov-2021 13:42:18  | FRM | ### | LMEx Sensor Version: 1.1.11.3
26-Nov-2021 13:42:18  | FRM | ### | User: MIB1RT
26-Nov-2021 13:42:18  | FRM | ### | User level: EXTENDED
26-Nov-2021 13:42:18  | FRM | ### | Test bench         : CANONLY
26-Nov-2021 13:42:18  | FRM | ### | Host name          : RT-Z0KG0
26-Nov-2021 13:42:18  | FRM | ### | Unibox Id          : 100
26-Nov-2021 13:42:18  | FRM | ### | Mainboard Number   : -1
26-Nov-2021 13:42:18  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
26-Nov-2021 13:42:18  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007695_8D-21-653\04-El._Testing_at_RT_Accel_Gyro(3)\4681_FA
26-Nov-2021 13:42:18  | FRM | ### | Temporary file path: c:\TempMessdaten\\20211126134217\
26-Nov-2021 13:42:18  | FRM | ### | Movejob: deactivated
26-Nov-2021 13:42:18  | FRM | ### | TDMS ByteOrder: BigEndian
26-Nov-2021 13:42:18  | FRM | ### | TDMS language: german
26-Nov-2021 13:42:18  | FRM | ### | ----------------------------------------------------------------------------
26-Nov-2021 13:42:18  | FRM | ### | Info: temporary saving active
26-Nov-2021 13:42:18  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
26-Nov-2021 13:42:18  | FRM | ### | 
26-Nov-2021 13:42:18  | FRM | ### | ----------------------------------------------------------------------------
26-Nov-2021 13:42:18  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
26-Nov-2021 13:42:18  | FRM | ### | ----------------------------------------------------------------------------
26-Nov-2021 13:42:18  | FRM | ### | 
26-Nov-2021 13:42:18  | FRM | ### | Sensor Pos=1 Nr=1
26-Nov-2021 13:42:18  | FRM | ### | Sensor Pos=2 Nr=4681
26-Nov-2021 13:42:18  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
26-Nov-2021 13:42:18  | FRM | ### | Test initializeded
26-Nov-2021 13:42:18  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
26-Nov-2021 13:42:20  | INF | ### | Paranoia power reset (TM)
26-Nov-2021 13:42:22  | SEN | 001 | module_id:6470
26-Nov-2021 13:42:22  | SEN | 001 | SNR:ab3d82c707011946
26-Nov-2021 13:42:23  | SEN | 001 | USNR:0000H6K123022070025KY
26-Nov-2021 13:42:23  | INF | ### | CRC 52051 crc read:52051
26-Nov-2021 13:42:23  | INF | ### | SensorNr1
26-Nov-2021 13:42:23  | INF | ### | 
26-Nov-2021 13:42:23  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
26-Nov-2021 13:42:25  | INF | ### | | RATE_X_wodrivewoCM        |      -0.05dps|  0.04dps  | DC <2dps, AC < 0.088dps |
26-Nov-2021 13:42:25  | INF | ### | | RATE_Y_wodrivewoCM        |       0.07dps|  0.05dps  | DC <2dps, AC < 0.088dps |
26-Nov-2021 13:42:25  | INF | ### | | RATE_Z_wodrivewoCM        |      -0.02dps|  0.04dps  | DC <2dps, AC < 0.088dps |
26-Nov-2021 13:42:26  | INF | ### | | Quad_X_wodrivewoCM        |       0.75dps|  0.27dps  | comment |
26-Nov-2021 13:42:26  | INF | ### | | Quad_Y_wodrivewoCM        |       1.04dps|  0.32dps  | comment |
26-Nov-2021 13:42:27  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.81dps|  0.59dps  | comment |
26-Nov-2021 13:42:30  | INF | ### | | CV_D_wodrivewoCM in TADC  |        4.44mV|   0.14mV  |  |
26-Nov-2021 13:42:31  | INF | ### | | CV_X_wodrivewoCM in TADC  |      -27.67mV|   0.25mV  |  |
26-Nov-2021 13:42:33  | INF | ### | | CV_Y_wodrivewoCM in TADC  |       -9.13mV|   0.35mV  |  |
26-Nov-2021 13:42:34  | INF | ### | | CV_Z_wodrivewoCM in TADC  |       17.03mV|   0.64mV  |  |
26-Nov-2021 13:42:35  | INF | ### | | RATE_X_wodrivewoCM_s30    |      -17.54mv|  -0.15mv  | pls compare it with CV_X_wodrivewoCM in TADC |
26-Nov-2021 13:42:35  | INF | ### | | RATE_Y_wodrivewoCM_s30    |      -20.93mv|   0.14mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
26-Nov-2021 13:42:35  | INF | ### | | RATE_Z_wodrivewoCM_s30    |       -2.09mv|  -0.28mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
26-Nov-2021 13:42:35  | INF | ### | | S30_CV_X_diff_wodrivewoCM |       10.13mv|   0.00mv  |  |
26-Nov-2021 13:42:35  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |      -11.80mv|   0.00mv  |  |
26-Nov-2021 13:42:35  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |      -19.12mv|   0.00mv  |  |
26-Nov-2021 13:42:37  | INF | ### | | RATE_X_wodrivewCM         |      -0.04dps|  0.03dps  | DC <2dps, AC < 0.1dps |
26-Nov-2021 13:42:37  | INF | ### | | RATE_Y_wodrivewCM         |       0.09dps|  0.05dps  | DC <2dps, AC < 0.1dps |
26-Nov-2021 13:42:37  | INF | ### | | RATE_Z_wodrivewCM         |      -0.01dps|  0.03dps  | DC <2dps, AC < 0.1dps |
26-Nov-2021 13:42:40  | INF | ### | | CV_D_wodrivewCM in TADC   |        4.51mV|   0.15mV  |  |
26-Nov-2021 13:42:41  | INF | ### | | CV_X_wodrivewCM in TADC   |      -27.96mV|   0.35mV  |  |
26-Nov-2021 13:42:43  | INF | ### | | CV_Y_wodrivewCM in TADC   |       -9.22mV|   0.31mV  |  |
26-Nov-2021 13:42:44  | INF | ### | | CV_Z_wodrivewCM in TADC   |       17.20mV|   0.62mV  |  |
26-Nov-2021 13:42:44  | INF | ### | | CV_D_inTADC_diff          |        0.07mV|   0.00mV  | W/ CM minus W/O CM |
26-Nov-2021 13:42:44  | INF | ### | | CV_X_inTADC_diff          |       -0.29mV|   0.00mV  | W/ CM minus W/O CM |
