01-Dec-2021 15:37:07  | FRM | ### | ----------------------------------------------------------------------------
01-Dec-2021 15:37:07  | FRM | ### | LMEx Framework Version: 4.0.0.12
01-Dec-2021 15:37:07  | FRM | ### | LMEx 32Bit
01-Dec-2021 15:37:07  | FRM | ### | LMEx Sensor Version: 1.1.11.3
01-Dec-2021 15:37:07  | FRM | ### | User: MIB1RT
01-Dec-2021 15:37:07  | FRM | ### | User level: EXTENDED
01-Dec-2021 15:37:07  | FRM | ### | Test bench         : CANONLY
01-Dec-2021 15:37:07  | FRM | ### | Host name          : RT-Z0KG0
01-Dec-2021 15:37:07  | FRM | ### | Unibox Id          : 100
01-Dec-2021 15:37:07  | FRM | ### | Mainboard Number   : -1
01-Dec-2021 15:37:07  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
01-Dec-2021 15:37:07  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007715_8D-21-664\04-El._Testing_at_RT_Accel_Gyro(3)\4700_FA
01-Dec-2021 15:37:07  | FRM | ### | Temporary file path: c:\TempMessdaten\\20211201153707\
01-Dec-2021 15:37:07  | FRM | ### | Movejob: deactivated
01-Dec-2021 15:37:07  | FRM | ### | TDMS ByteOrder: BigEndian
01-Dec-2021 15:37:07  | FRM | ### | TDMS language: german
01-Dec-2021 15:37:07  | FRM | ### | ----------------------------------------------------------------------------
01-Dec-2021 15:37:07  | FRM | ### | Info: temporary saving active
01-Dec-2021 15:37:07  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
01-Dec-2021 15:37:07  | FRM | ### | 
01-Dec-2021 15:37:07  | FRM | ### | ----------------------------------------------------------------------------
01-Dec-2021 15:37:07  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
01-Dec-2021 15:37:07  | FRM | ### | ----------------------------------------------------------------------------
01-Dec-2021 15:37:07  | FRM | ### | 
01-Dec-2021 15:37:08  | FRM | ### | Sensor Pos=1 Nr=1
01-Dec-2021 15:37:08  | FRM | ### | Sensor Pos=4 Nr=4700
01-Dec-2021 15:37:08  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
01-Dec-2021 15:37:08  | FRM | ### | Test initializeded
01-Dec-2021 15:37:08  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
01-Dec-2021 15:37:10  | INF | ### | Paranoia power reset (TM)
01-Dec-2021 15:37:12  | SEN | 001 | module_id:8256
01-Dec-2021 15:37:12  | SEN | 001 | SNR:b0b6808707032040
01-Dec-2021 15:37:12  | SEN | 001 | USNR:0000H6K250004064032KY
01-Dec-2021 15:37:13  | INF | ### | CRC 64138 crc read:64138
01-Dec-2021 15:37:13  | INF | ### | SensorNr1
01-Dec-2021 15:37:13  | INF | ### | 
01-Dec-2021 15:37:13  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
01-Dec-2021 15:37:15  | INF | ### | | RATE_X_wodrivewoCM        |      -0.00dps|  0.04dps  | DC <2dps, AC < 0.088dps |
01-Dec-2021 15:37:15  | INF | ### | | RATE_Y_wodrivewoCM        |       0.16dps|  0.05dps  | DC <2dps, AC < 0.088dps |
01-Dec-2021 15:37:15  | INF | ### | | RATE_Z_wodrivewoCM        |       0.04dps|  0.05dps  | DC <2dps, AC < 0.088dps |
01-Dec-2021 15:37:16  | INF | ### | | Quad_X_wodrivewoCM        |       1.16dps|  0.59dps  | comment |
01-Dec-2021 15:37:16  | INF | ### | | Quad_Y_wodrivewoCM        |       1.39dps|  0.32dps  | comment |
01-Dec-2021 15:37:17  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.47dps|  0.87dps  | comment |
01-Dec-2021 15:37:20  | INF | ### | | CV_D_wodrivewoCM in TADC  |       -3.20mV|   0.15mV  |  |
01-Dec-2021 15:37:22  | INF | ### | | CV_X_wodrivewoCM in TADC  |       19.42mV|   0.36mV  |  |
01-Dec-2021 15:37:23  | INF | ### | | CV_Y_wodrivewoCM in TADC  |        4.80mV|   0.32mV  |  |
01-Dec-2021 15:37:25  | INF | ### | | CV_Z_wodrivewoCM in TADC  |       -1.85mV|   0.84mV  |  |
01-Dec-2021 15:37:25  | INF | ### | | RATE_X_wodrivewoCM_s30    |       15.90mv|  -0.30mv  | pls compare it with CV_X_wodrivewoCM in TADC |
01-Dec-2021 15:37:26  | INF | ### | | RATE_Y_wodrivewoCM_s30    |        5.76mv|   0.15mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
01-Dec-2021 15:37:26  | INF | ### | | RATE_Z_wodrivewoCM_s30    |       -8.51mv|  -0.46mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
01-Dec-2021 15:37:26  | INF | ### | | S30_CV_X_diff_wodrivewoCM |       -3.53mv|   0.00mv  |  |
01-Dec-2021 15:37:26  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |        0.96mv|   0.00mv  |  |
01-Dec-2021 15:37:26  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |       -6.66mv|   0.00mv  |  |
01-Dec-2021 15:37:28  | INF | ### | | RATE_X_wodrivewCM         |       0.01dps|  0.05dps  | DC <2dps, AC < 0.1dps |
01-Dec-2021 15:37:28  | INF | ### | | RATE_Y_wodrivewCM         |       0.16dps|  0.05dps  | DC <2dps, AC < 0.1dps |
01-Dec-2021 15:37:28  | INF | ### | | RATE_Z_wodrivewCM         |       0.06dps|  0.04dps  | DC <2dps, AC < 0.1dps |
01-Dec-2021 15:37:31  | INF | ### | | CV_D_wodrivewCM in TADC   |       -3.28mV|   0.15mV  |  |
01-Dec-2021 15:37:32  | INF | ### | | CV_X_wodrivewCM in TADC   |       19.41mV|   0.36mV  |  |
01-Dec-2021 15:37:34  | INF | ### | | CV_Y_wodrivewCM in TADC   |        4.98mV|   0.30mV  |  |
01-Dec-2021 15:37:35  | INF | ### | | CV_Z_wodrivewCM in TADC   |       -1.67mV|   0.31mV  |  |
01-Dec-2021 15:37:35  | INF | ### | | CV_D_inTADC_diff          |       -0.07mV|   0.00mV  | W/ CM minus W/O CM |
01-Dec-2021 15:37:35  | INF | ### | | CV_X_inTADC_diff          |       -0.01mV|   0.00mV  | W/ CM minus W/O CM |
