10-Dec-2021 17:05:40  | FRM | ### | ----------------------------------------------------------------------------
10-Dec-2021 17:05:40  | FRM | ### | LMEx Framework Version: 4.0.0.12
10-Dec-2021 17:05:40  | FRM | ### | LMEx 32Bit
10-Dec-2021 17:05:40  | FRM | ### | LMEx Sensor Version: 1.1.11.3
10-Dec-2021 17:05:40  | FRM | ### | User: MIB1RT
10-Dec-2021 17:05:40  | FRM | ### | User level: EXTENDED
10-Dec-2021 17:05:40  | FRM | ### | Test bench         : CANONLY
10-Dec-2021 17:05:40  | FRM | ### | Host name          : RT-Z0KG0
10-Dec-2021 17:05:40  | FRM | ### | Unibox Id          : 100
10-Dec-2021 17:05:40  | FRM | ### | Mainboard Number   : -1
10-Dec-2021 17:05:40  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
10-Dec-2021 17:05:40  | FRM | ### | Final file path    : c:\Users\MIB1RT\Documents\8D-21-683\4752_FA_2
10-Dec-2021 17:05:40  | FRM | ### | Temporary file path: c:\TempMessdaten\\20211210170540\
10-Dec-2021 17:05:40  | FRM | ### | Movejob: deactivated
10-Dec-2021 17:05:40  | FRM | ### | TDMS ByteOrder: BigEndian
10-Dec-2021 17:05:40  | FRM | ### | TDMS language: german
10-Dec-2021 17:05:40  | FRM | ### | ----------------------------------------------------------------------------
10-Dec-2021 17:05:40  | FRM | ### | Info: temporary saving active
10-Dec-2021 17:05:40  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
10-Dec-2021 17:05:40  | FRM | ### | 
10-Dec-2021 17:05:40  | FRM | ### | ----------------------------------------------------------------------------
10-Dec-2021 17:05:40  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
10-Dec-2021 17:05:40  | FRM | ### | ----------------------------------------------------------------------------
10-Dec-2021 17:05:40  | FRM | ### | 
10-Dec-2021 17:05:40  | FRM | ### | Sensor Pos=1 Nr=1
10-Dec-2021 17:05:40  | FRM | ### | Sensor Pos=4 Nr=4752
10-Dec-2021 17:05:40  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
10-Dec-2021 17:05:40  | FRM | ### | Test initializeded
10-Dec-2021 17:05:40  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
10-Dec-2021 17:05:42  | INF | ### | Paranoia power reset (TM)
10-Dec-2021 17:05:44  | SEN | 001 | module_id:12828
10-Dec-2021 17:05:44  | SEN | 001 | SNR:692872690705321c
10-Dec-2021 17:05:45  | SEN | 001 | USNR:0000H2NH52019028050KY
10-Dec-2021 17:05:45  | INF | ### | CRC 58987 crc read:58987
10-Dec-2021 17:05:45  | INF | ### | SensorNr1
10-Dec-2021 17:05:45  | INF | ### | 
10-Dec-2021 17:05:45  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
10-Dec-2021 17:05:47  | INF | ### | | RATE_X_wodrivewoCM        |      -0.01dps|  0.03dps  | DC <2dps, AC < 0.088dps |
10-Dec-2021 17:05:47  | INF | ### | | RATE_Y_wodrivewoCM        |       0.02dps|  0.05dps  | DC <2dps, AC < 0.088dps |
10-Dec-2021 17:05:47  | INF | ### | | RATE_Z_wodrivewoCM        |      -0.01dps|  0.04dps  | DC <2dps, AC < 0.088dps |
10-Dec-2021 17:05:48  | INF | ### | | Quad_X_wodrivewoCM        |       0.87dps|  0.33dps  | comment |
10-Dec-2021 17:05:48  | INF | ### | | Quad_Y_wodrivewoCM        |       1.43dps|  0.20dps  | comment |
10-Dec-2021 17:05:49  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.58dps|  0.92dps  | comment |
10-Dec-2021 17:05:52  | INF | ### | | CV_D_wodrivewoCM in TADC  |        7.17mV|   0.12mV  |  |
10-Dec-2021 17:05:53  | INF | ### | | CV_X_wodrivewoCM in TADC  |       -7.23mV|   0.31mV  |  |
10-Dec-2021 17:05:55  | INF | ### | | CV_Y_wodrivewoCM in TADC  |       28.37mV|   0.29mV  |  |
10-Dec-2021 17:05:56  | INF | ### | | CV_Z_wodrivewoCM in TADC  |        9.91mV|   0.35mV  |  |
10-Dec-2021 17:05:57  | INF | ### | | RATE_X_wodrivewoCM_s30    |       -8.13mv|  -0.16mv  | pls compare it with CV_X_wodrivewoCM in TADC |
10-Dec-2021 17:05:57  | INF | ### | | RATE_Y_wodrivewoCM_s30    |       31.49mv|   0.20mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
10-Dec-2021 17:05:57  | INF | ### | | RATE_Z_wodrivewoCM_s30    |        6.40mv|  -0.41mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
10-Dec-2021 17:05:57  | INF | ### | | S30_CV_X_diff_wodrivewoCM |       -0.90mv|   0.00mv  |  |
10-Dec-2021 17:05:57  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |        3.13mv|   0.00mv  |  |
10-Dec-2021 17:05:57  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |       -3.50mv|   0.00mv  |  |
10-Dec-2021 17:05:59  | INF | ### | | RATE_X_wodrivewCM         |      -0.01dps|  0.04dps  | DC <2dps, AC < 0.1dps |
10-Dec-2021 17:05:59  | INF | ### | | RATE_Y_wodrivewCM         |       0.01dps|  0.05dps  | DC <2dps, AC < 0.1dps |
10-Dec-2021 17:05:59  | INF | ### | | RATE_Z_wodrivewCM         |      -0.01dps|  0.04dps  | DC <2dps, AC < 0.1dps |
10-Dec-2021 17:06:02  | INF | ### | | CV_D_wodrivewCM in TADC   |        7.22mV|   0.14mV  |  |
10-Dec-2021 17:06:03  | INF | ### | | CV_X_wodrivewCM in TADC   |       -7.34mV|   0.31mV  |  |
10-Dec-2021 17:06:05  | INF | ### | | CV_Y_wodrivewCM in TADC   |       28.29mV|   0.29mV  |  |
10-Dec-2021 17:06:06  | INF | ### | | CV_Z_wodrivewCM in TADC   |        9.22mV|   0.27mV  |  |
10-Dec-2021 17:06:06  | INF | ### | | CV_D_inTADC_diff          |        0.06mV|   0.00mV  | W/ CM minus W/O CM |
10-Dec-2021 17:06:06  | INF | ### | | CV_X_inTADC_diff          |       -0.11mV|   0.00mV  | W/ CM minus W/O CM |
10-Dec-2021 17:06:06  | INF | ### | | CV_Y_inTADC_diff          |       -0.08mV|   0.00mV  | W/ CM minus W/O CM |
10-Dec-2021 17:06:06  | INF | ### | | CV_Z_inTADC_diff          |       -0.69mV|   0.00mV  | W/ CM minus W/O CM |
10-Dec-2021 17:06:07  | INF | ### | | RATE_X_wodrivewCM_s30     |       -8.06mv|  -0.20mv  | pls compare it with CV_X_wodrivewCM in TADC |
10-Dec-2021 17:06:07  | INF | ### | | RATE_Y_wodrivewCM_s30     |       31.54mv|   0.18mv  | pls compare it with CV_Y_wodrivewCM in TADC |
10-Dec-2021 17:06:07  | INF | ### | | RATE_Z_wodrivewCM_s30     |        5.62mv|  -0.48mv  | pls compare it with CV_Z_wdrivewoCM in TADC |
10-Dec-2021 17:06:07  | INF | ### | | S30_CV_X_diff_wodrivewCM  |       -0.73mv|   0.00mv  |  |
10-Dec-2021 17:06:07  | INF | ### | | S30_CV_Y_diff_wodrivewCM  |        3.25mv|   0.00mv  |  |
10-Dec-2021 17:06:07  | INF | ### | | S30_CV_Z_diff_wodrivewCM  |       -3.59mv|   0.00mv  |  |
10-Dec-2021 17:06:09  | INF | ### | | CM_OFFSET_wodrive in TADC |       -6.28mV|   0.08mV  |  |
10-Dec-2021 17:06:10  | INF | ### | | Aout(4k_en)               |      358.24mV|   1.62mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
10-Dec-2021 17:06:11  | INF | ### | | Pout(4k_en)               |      220.51mV|   0.23mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
10-Dec-2021 17:06:11  | INF | ### | | Aout(4k_en & pd_aa)       |      716.39mV|   2.47mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_aa=1 \\ saturation?~^ |
