23-Dec-2021 16:01:11  | FRM | ### | ----------------------------------------------------------------------------
23-Dec-2021 16:01:11  | FRM | ### | LMEx Framework Version: 4.0.0.12
23-Dec-2021 16:01:11  | FRM | ### | LMEx 32Bit
23-Dec-2021 16:01:11  | FRM | ### | LMEx Sensor Version: 1.1.11.3
23-Dec-2021 16:01:11  | FRM | ### | User: MIB1RT
23-Dec-2021 16:01:11  | FRM | ### | User level: EXTENDED
23-Dec-2021 16:01:11  | FRM | ### | Test bench         : CANONLY
23-Dec-2021 16:01:11  | FRM | ### | Host name          : RT-Z0KG0
23-Dec-2021 16:01:11  | FRM | ### | Unibox Id          : 100
23-Dec-2021 16:01:11  | FRM | ### | Mainboard Number   : -1
23-Dec-2021 16:01:11  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
23-Dec-2021 16:01:11  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007831_8D-21-702\04-El._Testing_at_RT_Accel_Gyro(3)\4813_FA
23-Dec-2021 16:01:11  | FRM | ### | Temporary file path: c:\TempMessdaten\\20211223160111\
23-Dec-2021 16:01:11  | FRM | ### | Movejob: deactivated
23-Dec-2021 16:01:11  | FRM | ### | TDMS ByteOrder: BigEndian
23-Dec-2021 16:01:11  | FRM | ### | TDMS language: german
23-Dec-2021 16:01:11  | FRM | ### | ----------------------------------------------------------------------------
23-Dec-2021 16:01:11  | FRM | ### | Info: temporary saving active
23-Dec-2021 16:01:11  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
23-Dec-2021 16:01:11  | FRM | ### | 
23-Dec-2021 16:01:11  | FRM | ### | ----------------------------------------------------------------------------
23-Dec-2021 16:01:11  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
23-Dec-2021 16:01:11  | FRM | ### | ----------------------------------------------------------------------------
23-Dec-2021 16:01:11  | FRM | ### | 
23-Dec-2021 16:01:11  | FRM | ### | Sensor Pos=1 Nr=1
23-Dec-2021 16:01:11  | FRM | ### | Sensor Pos=4 Nr=4813
23-Dec-2021 16:01:11  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
23-Dec-2021 16:01:11  | FRM | ### | Test initializeded
23-Dec-2021 16:01:11  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
23-Dec-2021 16:01:13  | INF | ### | Paranoia power reset (TM)
23-Dec-2021 16:01:15  | SEN | 001 | module_id:12828
23-Dec-2021 16:01:15  | SEN | 001 | SNR:692872690705321c
23-Dec-2021 16:01:16  | SEN | 001 | USNR:0000H2NH52019028050KY
23-Dec-2021 16:01:16  | INF | ### | CRC 58987 crc read:58987
23-Dec-2021 16:01:16  | INF | ### | SensorNr1
23-Dec-2021 16:01:16  | INF | ### | 
23-Dec-2021 16:01:16  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
23-Dec-2021 16:01:19  | INF | ### | | RATE_X_wodrivewoCM        |       0.01dps|  0.04dps  | DC <2dps, AC < 0.088dps |
23-Dec-2021 16:01:19  | INF | ### | | RATE_Y_wodrivewoCM        |       0.02dps|  0.05dps  | DC <2dps, AC < 0.088dps |
23-Dec-2021 16:01:19  | INF | ### | | RATE_Z_wodrivewoCM        |      -0.00dps|  0.04dps  | DC <2dps, AC < 0.088dps |
23-Dec-2021 16:01:20  | INF | ### | | Quad_X_wodrivewoCM        |       0.90dps|  0.33dps  | comment |
23-Dec-2021 16:01:20  | INF | ### | | Quad_Y_wodrivewoCM        |       1.34dps|  0.44dps  | comment |
23-Dec-2021 16:01:20  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.65dps|  1.06dps  | comment |
23-Dec-2021 16:01:23  | INF | ### | | CV_D_wodrivewoCM in TADC  |        7.16mV|   0.14mV  |  |
23-Dec-2021 16:01:25  | INF | ### | | CV_X_wodrivewoCM in TADC  |       -7.05mV|   0.30mV  |  |
23-Dec-2021 16:01:26  | INF | ### | | CV_Y_wodrivewoCM in TADC  |       27.72mV|   0.34mV  |  |
23-Dec-2021 16:01:28  | INF | ### | | CV_Z_wodrivewoCM in TADC  |        9.16mV|   0.38mV  |  |
23-Dec-2021 16:01:28  | INF | ### | | RATE_X_wodrivewoCM_s30    |       -7.62mv|  -0.15mv  | pls compare it with CV_X_wodrivewoCM in TADC |
23-Dec-2021 16:01:28  | INF | ### | | RATE_Y_wodrivewoCM_s30    |       31.41mv|   0.15mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
23-Dec-2021 16:01:29  | INF | ### | | RATE_Z_wodrivewoCM_s30    |        5.59mv|  -0.60mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
23-Dec-2021 16:01:29  | INF | ### | | S30_CV_X_diff_wodrivewoCM |       -0.57mv|   0.00mv  |  |
23-Dec-2021 16:01:29  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |        3.70mv|   0.00mv  |  |
23-Dec-2021 16:01:29  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |       -3.57mv|   0.00mv  |  |
23-Dec-2021 16:01:31  | INF | ### | | RATE_X_wodrivewCM         |      -0.03dps|  0.03dps  | DC <2dps, AC < 0.1dps |
23-Dec-2021 16:01:31  | INF | ### | | RATE_Y_wodrivewCM         |       0.01dps|  0.05dps  | DC <2dps, AC < 0.1dps |
23-Dec-2021 16:01:31  | INF | ### | | RATE_Z_wodrivewCM         |       0.02dps|  0.05dps  | DC <2dps, AC < 0.1dps |
23-Dec-2021 16:01:33  | INF | ### | | CV_D_wodrivewCM in TADC   |        7.33mV|   0.12mV  |  |
23-Dec-2021 16:01:35  | INF | ### | | CV_X_wodrivewCM in TADC   |       -6.70mV|   0.32mV  |  |
23-Dec-2021 16:01:36  | INF | ### | | CV_Y_wodrivewCM in TADC   |       28.04mV|   0.30mV  |  |
23-Dec-2021 16:01:38  | INF | ### | | CV_Z_wodrivewCM in TADC   |        9.23mV|   0.72mV  |  |
23-Dec-2021 16:01:38  | INF | ### | | CV_D_inTADC_diff          |        0.17mV|   0.00mV  | W/ CM minus W/O CM |
23-Dec-2021 16:01:38  | INF | ### | | CV_X_inTADC_diff          |        0.35mV|   0.00mV  | W/ CM minus W/O CM |
23-Dec-2021 16:01:38  | INF | ### | | CV_Y_inTADC_diff          |        0.32mV|   0.00mV  | W/ CM minus W/O CM |
23-Dec-2021 16:01:38  | INF | ### | | CV_Z_inTADC_diff          |        0.07mV|   0.00mV  | W/ CM minus W/O CM |
23-Dec-2021 16:01:39  | INF | ### | | RATE_X_wodrivewCM_s30     |       -7.82mv|  -0.19mv  | pls compare it with CV_X_wodrivewCM in TADC |
23-Dec-2021 16:01:39  | INF | ### | | RATE_Y_wodrivewCM_s30     |       31.51mv|   0.25mv  | pls compare it with CV_Y_wodrivewCM in TADC |
23-Dec-2021 16:01:39  | INF | ### | | RATE_Z_wodrivewCM_s30     |        5.54mv|  -0.57mv  | pls compare it with CV_Z_wdrivewoCM in TADC |
23-Dec-2021 16:01:39  | INF | ### | | S30_CV_X_diff_wodrivewCM  |       -1.12mv|   0.00mv  |  |
23-Dec-2021 16:01:39  | INF | ### | | S30_CV_Y_diff_wodrivewCM  |        3.46mv|   0.00mv  |  |
23-Dec-2021 16:01:39  | INF | ### | | S30_CV_Z_diff_wodrivewCM  |       -3.70mv|   0.00mv  |  |
23-Dec-2021 16:01:41  | INF | ### | | CM_OFFSET_wodrive in TADC |       -6.34mV|   0.05mV  |  |
23-Dec-2021 16:01:42  | INF | ### | | Aout(4k_en)               |      357.87mV|   2.34mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
23-Dec-2021 16:01:42  | INF | ### | | Pout(4k_en)               |      223.17mV|   0.21mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
23-Dec-2021 16:01:43  | INF | ### | | Aout(4k_en & pd_aa)       |      716.01mV|   3.41mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_aa=1 \\ saturation?~^ |
23-Dec-2021 16:01:44  | INF | ### | | Aout(4k_en & pd_ai)       |      705.73mV|   2.84mV  | ^~4k_en=1; cp_cvd=0; tst_gyr_pd_ai=1 \\ saturation?~^ |
23-Dec-2021 16:01:45  | INF | ### | | Aout normal mode          |      708.46mV|   2.55mV  | ^~default~^ |
23-Dec-2021 16:01:45  | INF | ### | | Normal_Rate_x             |       0.33dps|  0.05dps  | comment |
23-Dec-2021 16:01:45  | INF | ### | | Normal_Rate_y             |      -0.04dps|  0.06dps  | comment |
23-Dec-2021 16:01:45  | INF | ### | | Normal_Rate_z             |      -0.08dps|  0.05dps  | comment |
23-Dec-2021 16:01:46  | INF | ### | | Pout normal mode          |      229.43mV|   0.24mV  | ^~default~^ |
23-Dec-2021 16:01:47  | INF | ### | | CM_OFFSET_normal in TADC  |       -6.30mV|   0.06mV  |  |
23-Dec-2021 16:01:47  | INF | ### | | AoutTrim                  |      716.80mV|   0.00mV  |  |
23-Dec-2021 16:01:48  | INF | ### | | Aout_s16                  |      708.26mV|   0.00mV  |  |
23-Dec-2021 16:01:48  | INF | ### | | Aout_rel_dev_s16          |      -1.19pct|  0.00pct  |  |
23-Dec-2021 16:01:50  | INF | ### | | S31:CM_in_Sens            |        0.02Au|   0.05Au  | comment |
23-Dec-2021 16:01:50  | INF | ### | | S31:CM_inSens_PD_AI       |        0.57Au|   0.06Au  | comment |
23-Dec-2021 16:01:51  | INF | ### | | S31:CM_inSens_PD_AA       |       -0.47Au|   0.04Au  | comment |
23-Dec-2021 16:01:52  | INF | ### | | S31:CM_inSens_PD_AIAA     |        0.05Au|   0.06Au  | comment |
23-Dec-2021 16:01:54  | INF | ### | | CV_D_in_Sens              |   23478.25LSB|  3.05LSB  | comment |
23-Dec-2021 16:01:56  | INF | ### | | GYRO_TAU                  |       68.69ms|   0.00ms  | comment |
23-Dec-2021 16:01:56  | INF | ### | | VCO_freq_measured         |       0.00KHz|  0.00KHz  | it would only work on DKT, get 0 from HMP |
23-Dec-2021 16:01:56  | INF | ### | | VCO_freq_FT               |      25.44KHz|  0.00KHz  |  |
23-Dec-2021 16:01:56  | INF | ### | | VCO_freq_dev              |    25437.60Hz|   0.00Hz  | 100Hz dev max, This data will only be available when the FA script run on DKT |
23-Dec-2021 16:01:57  | INF | ### | | Gyro_rate_raw_x           |       0.06dps|  0.04dps  | comment |
23-Dec-2021 16:01:58  | INF | ### | | Gyro_rate_raw_y           |       1.84dps|  0.03dps  | comment |
23-Dec-2021 16:01:58  | INF | ### | | Gyro_rate_raw_z           |       2.84dps|  0.04dps  | comment |
23-Dec-2021 16:01:58  | INF | ### | | Quad_q2r_res_x            |     -33.83dps|  0.47dps  | comment |
23-Dec-2021 16:01:58  | INF | ### | | Quad_q2r_res_y            |     414.78dps|  0.08dps  | comment |
23-Dec-2021 16:01:58  | INF | ### | | Quad_q2r_res_z            |      13.25dps|  1.95dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Rdiff_cvs_x               |       0.42dps|  0.00dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Rdiff_cvs_y               |       1.37dps|  0.00dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Rdiff_cvs_z               |       0.02dps|  0.00dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Qdiff_cvs_x               |   -1492.96dps|  0.00dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Qdiff_cvs_y               |   -2351.80dps|  0.00dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Qdiff_cvs_z               |    1199.36dps|  0.00dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Phase_cvs_x               |     -0.28mrad| 0.00mrad  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Phase_cvs_y               |     -0.58mrad| 0.00mrad  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Phase_cvs_z               |      0.02mrad| 0.00mrad  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Rdiff_x                   |       0.37dps|  0.00dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Rdiff_y                   |      -0.75dps|  0.00dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Rdiff_z                   |       0.83dps|  0.00dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Qdiff_x                   |    -187.35dps|  0.00dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Qdiff_y                   |     207.91dps|  0.00dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Qdiff_z                   |    -371.45dps|  0.00dps  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Phase_TOSK_x              |     -1.96mrad| 0.00mrad  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Phase_TOSK_y              |     -3.59mrad| 0.00mrad  | comment |
23-Dec-2021 16:02:05  | INF | ### | | Phase_TOSK_z              |     -2.24mrad| 0.00mrad  | comment |
23-Dec-2021 16:02:06  | INF | ### | | Post_Rate_x               |       0.30dps|  0.05dps  | comment |
23-Dec-2021 16:02:06  | INF | ### | | Post_Rate_y               |      -0.03dps|  0.07dps  | comment |
23-Dec-2021 16:02:06  | INF | ### | | Post_Rate_z               |      -0.08dps|  0.06dps  | comment |
23-Dec-2021 16:02:08  | INF | ### | | S23_AoutStUp_Loop, vco_diff = 0|          1.00|     0.00  | S23 -> combo |
23-Dec-2021 16:02:08  | INF | ### | | S23:g:OutlierCnt:Scr23, vco_diff = 0|         14.00|     0.00  | S23 -> combo |
