08-Feb-2022 13:40:35  | FRM | ### | ----------------------------------------------------------------------------
08-Feb-2022 13:40:35  | FRM | ### | LMEx Framework Version: 4.0.0.12
08-Feb-2022 13:40:35  | FRM | ### | LMEx 32Bit
08-Feb-2022 13:40:35  | FRM | ### | LMEx Sensor Version: 1.1.11.3
08-Feb-2022 13:40:35  | FRM | ### | User: MIB1RT
08-Feb-2022 13:40:35  | FRM | ### | User level: EXTENDED
08-Feb-2022 13:40:35  | FRM | ### | Test bench         : CANONLY
08-Feb-2022 13:40:35  | FRM | ### | Host name          : RT-Z0KG0
08-Feb-2022 13:40:35  | FRM | ### | Unibox Id          : 100
08-Feb-2022 13:40:35  | FRM | ### | Mainboard Number   : -1
08-Feb-2022 13:40:35  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
08-Feb-2022 13:40:35  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007979_8D-22-054\04-El._Testing_at_RT_Accel_Gyro(3)\01_meas\4926_FA
08-Feb-2022 13:40:35  | FRM | ### | Temporary file path: c:\TempMessdaten\\20220208134035\
08-Feb-2022 13:40:35  | FRM | ### | Movejob: deactivated
08-Feb-2022 13:40:35  | FRM | ### | TDMS ByteOrder: BigEndian
08-Feb-2022 13:40:35  | FRM | ### | TDMS language: german
08-Feb-2022 13:40:35  | FRM | ### | ----------------------------------------------------------------------------
08-Feb-2022 13:40:35  | FRM | ### | Info: temporary saving active
08-Feb-2022 13:40:35  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
08-Feb-2022 13:40:35  | FRM | ### | 
08-Feb-2022 13:40:35  | FRM | ### | ----------------------------------------------------------------------------
08-Feb-2022 13:40:35  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
08-Feb-2022 13:40:35  | FRM | ### | ----------------------------------------------------------------------------
08-Feb-2022 13:40:35  | FRM | ### | 
08-Feb-2022 13:40:35  | FRM | ### | Sensor Pos=1 Nr=1
08-Feb-2022 13:40:35  | FRM | ### | Sensor Pos=4 Nr=4926
08-Feb-2022 13:40:35  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
08-Feb-2022 13:40:35  | FRM | ### | Test initializeded
08-Feb-2022 13:40:35  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
08-Feb-2022 13:40:37  | INF | ### | Paranoia power reset (TM)
08-Feb-2022 13:40:39  | SEN | 001 | module_id:9764
08-Feb-2022 13:40:40  | SEN | 001 | SNR:b0b6808707032624
08-Feb-2022 13:40:40  | SEN | 001 | USNR:0000H6K250004036038KY
08-Feb-2022 13:40:40  | INF | ### | CRC 53229 crc read:53229
08-Feb-2022 13:40:40  | INF | ### | SensorNr1
08-Feb-2022 13:40:40  | INF | ### | 
08-Feb-2022 13:40:40  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
08-Feb-2022 13:40:43  | INF | ### | | RATE_X_wodrivewoCM        |     -0.024dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
08-Feb-2022 13:40:43  | INF | ### | | RATE_Y_wodrivewoCM        |      0.090dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
08-Feb-2022 13:40:43  | INF | ### | | RATE_Z_wodrivewoCM        |      0.104dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
08-Feb-2022 13:40:44  | INF | ### | | Quad_X_wodrivewoCM        |      1.526dps|  0.57dps  | -4dps< DC <4dps, AC < 0.8dps |
08-Feb-2022 13:40:44  | INF | ### | | Quad_Y_wodrivewoCM        |      1.236dps|  0.65dps  | -4dps< DC <4dps, AC < 0.8dps |
08-Feb-2022 13:40:44  | INF | ### | | Quad_Z_wodrivewoCM        |     -0.422dps|  0.74dps  | -4dps< DC <4dps, AC < 0.8dps |
08-Feb-2022 13:40:47  | INF | ### | | CV_D_wodrivewoCM in TADC  |       3.839mV|   0.14mV  | -50mV< DC <50mV, AC < 5mV |
08-Feb-2022 13:40:49  | INF | ### | | CV_X_wodrivewoCM in TADC  |     -18.606mV|   0.35mV  | -150mV< DC <150mV, AC < 5mV |
08-Feb-2022 13:40:50  | INF | ### | | CV_Y_wodrivewoCM in TADC  |      -4.597mV|   0.42mV  | -150mV< DC <150mV, AC < 5mV |
08-Feb-2022 13:40:52  | INF | ### | | CV_Z_wodrivewoCM in TADC  |      55.705mV|   0.35mV  | -150mV< DC <150mV, AC < 5mV |
08-Feb-2022 13:40:55  | INF | ### | | RATE_X_wodrivewCM         |     -0.042dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
08-Feb-2022 13:40:55  | INF | ### | | RATE_Y_wodrivewCM         |      0.085dps|  0.06dps  | -2dps< DC <2dps, AC < 0.1dps |
08-Feb-2022 13:40:55  | INF | ### | | RATE_Z_wodrivewCM         |      0.117dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
08-Feb-2022 13:40:57  | INF | ### | | CV_D_wodrivewCM in TADC   |       3.993mV|   0.15mV  | -50mV< DC <50mV, AC < 5mV |
08-Feb-2022 13:40:59  | INF | ### | | CV_X_wodrivewCM in TADC   |     -18.744mV|   0.36mV  | -150mV< DC <150mV, AC < 5mV |
08-Feb-2022 13:41:00  | INF | ### | | CV_Y_wodrivewCM in TADC   |      -4.824mV|   0.28mV  | -150mV< DC <150mV, AC < 5mV |
08-Feb-2022 13:41:02  | INF | ### | | CV_Z_wodrivewCM in TADC   |      55.928mV|   0.48mV  | -150mV< DC <150mV, AC < 5mV |
08-Feb-2022 13:41:02  | INF | ### | | CV_D_inTADC_diff          |       0.154mV|   0.00mV  | -2mV< DC <2mV |
08-Feb-2022 13:41:02  | INF | ### | | CV_X_inTADC_diff          |      -0.138mV|   0.00mV  | -2mV< DC <2mV |
08-Feb-2022 13:41:02  | INF | ### | | CV_Y_inTADC_diff          |      -0.227mV|   0.00mV  | -2mV< DC <2mV |
08-Feb-2022 13:41:02  | INF | ### | | CV_Z_inTADC_diff          |       0.223mV|   0.00mV  | -2mV< DC <2mV |
08-Feb-2022 13:41:05  | INF | ### | | CM_OFFSET_wodrive in TADC |       2.263mV|   0.09mV  | -50mV< DC <50mV, AC < 5mV |
