10-Feb-2022 13:02:11  | FRM | ### | ----------------------------------------------------------------------------
10-Feb-2022 13:02:11  | FRM | ### | LMEx Framework Version: 4.0.0.12
10-Feb-2022 13:02:11  | FRM | ### | LMEx 32Bit
10-Feb-2022 13:02:11  | FRM | ### | LMEx Sensor Version: 1.1.11.3
10-Feb-2022 13:02:11  | FRM | ### | User: MIB1RT
10-Feb-2022 13:02:11  | FRM | ### | User level: EXTENDED
10-Feb-2022 13:02:11  | FRM | ### | Test bench         : CANONLY
10-Feb-2022 13:02:11  | FRM | ### | Host name          : RT-Z0KG0
10-Feb-2022 13:02:11  | FRM | ### | Unibox Id          : 100
10-Feb-2022 13:02:11  | FRM | ### | Mainboard Number   : -1
10-Feb-2022 13:02:11  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
10-Feb-2022 13:02:11  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007979_8D-22-054\04-El._Testing_at_RT_Accel_Gyro(3)\01_meas\4926_FA_afterDrop
10-Feb-2022 13:02:11  | FRM | ### | Temporary file path: c:\TempMessdaten\\20220210130211\
10-Feb-2022 13:02:11  | FRM | ### | Movejob: deactivated
10-Feb-2022 13:02:11  | FRM | ### | TDMS ByteOrder: BigEndian
10-Feb-2022 13:02:11  | FRM | ### | TDMS language: german
10-Feb-2022 13:02:11  | FRM | ### | ----------------------------------------------------------------------------
10-Feb-2022 13:02:11  | FRM | ### | Info: temporary saving active
10-Feb-2022 13:02:11  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
10-Feb-2022 13:02:11  | FRM | ### | 
10-Feb-2022 13:02:11  | FRM | ### | ----------------------------------------------------------------------------
10-Feb-2022 13:02:11  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
10-Feb-2022 13:02:11  | FRM | ### | ----------------------------------------------------------------------------
10-Feb-2022 13:02:11  | FRM | ### | 
10-Feb-2022 13:02:11  | FRM | ### | Sensor Pos=1 Nr=1
10-Feb-2022 13:02:11  | FRM | ### | Sensor Pos=4 Nr=4926
10-Feb-2022 13:02:11  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
10-Feb-2022 13:02:11  | FRM | ### | Test initializeded
10-Feb-2022 13:02:11  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
10-Feb-2022 13:02:14  | INF | ### | Paranoia power reset (TM)
10-Feb-2022 13:02:16  | SEN | 001 | module_id:4911
10-Feb-2022 13:02:16  | SEN | 001 | SNR:b0b680870703132f
10-Feb-2022 13:02:16  | SEN | 001 | USNR:0000H6K250004047019KY
10-Feb-2022 13:02:17  | INF | ### | CRC 57365 crc read:57365
10-Feb-2022 13:02:17  | INF | ### | SensorNr1
10-Feb-2022 13:02:17  | INF | ### | 
10-Feb-2022 13:02:17  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
10-Feb-2022 13:02:19  | INF | ### | | RATE_X_wodrivewoCM        |     -0.083dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
10-Feb-2022 13:02:19  | INF | ### | | RATE_Y_wodrivewoCM        |      0.087dps|  0.06dps  | -2dps< DC <2dps, AC < 0.1dps |
10-Feb-2022 13:02:19  | INF | ### | | RATE_Z_wodrivewoCM        |     -0.010dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
10-Feb-2022 13:02:20  | INF | ### | | Quad_X_wodrivewoCM        |      1.129dps|  0.26dps  | -4dps< DC <4dps, AC < 0.8dps |
10-Feb-2022 13:02:20  | INF | ### | | Quad_Y_wodrivewoCM        |      1.271dps|  0.24dps  | -4dps< DC <4dps, AC < 0.8dps |
10-Feb-2022 13:02:21  | INF | ### | | Quad_Z_wodrivewoCM        |     -0.890dps|  0.69dps  | -4dps< DC <4dps, AC < 0.8dps |
10-Feb-2022 13:02:24  | INF | ### | | CV_D_wodrivewoCM in TADC  |       0.093mV|   0.15mV  | -50mV< DC <50mV, AC < 5mV |
10-Feb-2022 13:02:25  | INF | ### | | CV_X_wodrivewoCM in TADC  |      15.232mV|   0.31mV  | -150mV< DC <150mV, AC < 5mV |
10-Feb-2022 13:02:27  | INF | ### | | CV_Y_wodrivewoCM in TADC  |     -31.964mV|   0.28mV  | -150mV< DC <150mV, AC < 5mV |
10-Feb-2022 13:02:28  | INF | ### | | CV_Z_wodrivewoCM in TADC  |      15.896mV|   0.29mV  | -150mV< DC <150mV, AC < 5mV |
10-Feb-2022 13:02:31  | INF | ### | | RATE_X_wodrivewCM         |     -0.109dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
10-Feb-2022 13:02:31  | INF | ### | | RATE_Y_wodrivewCM         |      0.096dps|  0.06dps  | -2dps< DC <2dps, AC < 0.1dps |
10-Feb-2022 13:02:31  | INF | ### | | RATE_Z_wodrivewCM         |     -0.034dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
10-Feb-2022 13:02:34  | INF | ### | | CV_D_wodrivewCM in TADC   |       0.045mV|   0.14mV  | -50mV< DC <50mV, AC < 5mV |
10-Feb-2022 13:02:35  | INF | ### | | CV_X_wodrivewCM in TADC   |      15.493mV|   0.32mV  | -150mV< DC <150mV, AC < 5mV |
10-Feb-2022 13:02:37  | INF | ### | | CV_Y_wodrivewCM in TADC   |     -31.988mV|   0.30mV  | -150mV< DC <150mV, AC < 5mV |
10-Feb-2022 13:02:38  | INF | ### | | CV_Z_wodrivewCM in TADC   |      15.922mV|   0.31mV  | -150mV< DC <150mV, AC < 5mV |
10-Feb-2022 13:02:38  | INF | ### | | CV_D_inTADC_diff          |      -0.048mV|   0.00mV  | -2mV< DC <2mV |
10-Feb-2022 13:02:38  | INF | ### | | CV_X_inTADC_diff          |       0.261mV|   0.00mV  | -2mV< DC <2mV |
10-Feb-2022 13:02:38  | INF | ### | | CV_Y_inTADC_diff          |      -0.024mV|   0.00mV  | -2mV< DC <2mV |
10-Feb-2022 13:02:38  | INF | ### | | CV_Z_inTADC_diff          |       0.026mV|   0.00mV  | -2mV< DC <2mV |
10-Feb-2022 13:02:41  | INF | ### | | CM_OFFSET_wodrive in TADC |       2.541mV|   0.10mV  | -50mV< DC <50mV, AC < 5mV |
10-Feb-2022 13:02:43  | INF | ### | | Aout(4k_en)               |     312.048mV|   1.53mV  | 50mV< DC <550mV, AC < 7.5mV |
10-Feb-2022 13:02:43  | INF | ### | | Pout(4k_en)               |       6.474mV|   0.30mV  | -300mV< DC <300mV, AC < 2mV |
10-Feb-2022 13:02:44  | INF | ### | | Aout(4k_en & pd_aa)       |     621.538mV|   2.18mV  | 100mV< DC <1100mV, AC < 7.5mV |
10-Feb-2022 13:02:44  | INF | ### | | Aout(4k_en & pd_ai)       |     613.570mV|   4.12mV  | 100mV< DC <1100mV, AC < 7.5mV |
10-Feb-2022 13:02:45  | INF | ### | | Aout normal mode          |     623.802mV|   2.92mV  | 100mV< DC <1100mV, AC < 7.5mV |
10-Feb-2022 13:02:45  | INF | ### | | Pout normal mode          |      10.820mV|   0.25mV  | -300mV< DC <300mV, AC < 2mV |
10-Feb-2022 13:02:45  | INF | ### | | asymm_pout_4um_diff       |      -4.347mV|   0.00mV  | -10mV< DC <-0.5mV |
10-Feb-2022 13:02:45  | INF | ### | | asymm_aout_4um_ratio      |         0.500|     0.00  | 0.49< DC <0.51 |
10-Feb-2022 13:02:45  | INF | ### | | asymm_aout_pdaaai_ratio   |         1.013|     0.00  | 0.975< DC <1.025 |
10-Feb-2022 13:02:46  | INF | ### | | Normal_Rate_x             |      0.176dps|  0.06dps  | -25dps< DC <25dps, AC < 0.2dps |
10-Feb-2022 13:02:46  | INF | ### | | Normal_Rate_y             |      0.064dps|  0.06dps  | -25dps< DC <25dps, AC < 0.2dps |
10-Feb-2022 13:02:46  | INF | ### | | Normal_Rate_z             |      0.010dps|  0.05dps  | -25dps< DC <25dps, AC < 0.2dps |
10-Feb-2022 13:02:47  | INF | ### | | CM_OFFSET_normal in TADC  |       2.569mV|   0.09mV  | 50mV< DC <550mV, AC < 7.5mV |
10-Feb-2022 13:02:47  | INF | ### | | AoutTrim                  |     632.422mV|   0.00mV  | 100mV< DC <1100mV |
10-Feb-2022 13:02:48  | INF | ### | | Aout_s16                  |     624.381mV|   0.00mV  | 200mV< DC <1100mV |
10-Feb-2022 13:02:48  | INF | ### | | Aout_rel_dev_s16          |     -1.271pct|  0.00pct  | -3pct< DC <3pct |
10-Feb-2022 13:02:50  | INF | ### | | S31:CM_in_Sens            |       0.048Au|   0.05Au  | -5Au< DC <5Au, AC < 0.2Au |
10-Feb-2022 13:02:51  | INF | ### | | S31:CM_inSens_PD_AI       |       0.469Au|   0.03Au  | -5Au< DC <5Au, AC < 0.2Au |
10-Feb-2022 13:02:52  | INF | ### | | S31:CM_inSens_PD_AA       |      -0.409Au|   0.05Au  | -5Au< DC <5Au, AC < 0.2Au |
10-Feb-2022 13:02:52  | INF | ### | | S31:CM_inSens_PD_AIAA     |       0.037Au|   0.04Au  | -5Au< DC <5Au, AC < 0.2Au |
10-Feb-2022 13:02:54  | INF | ### | | CV_D_in_Sens              |  23533.450LSB|  2.19LSB  | abs(DC) > 20000LSB, AC < 5LSB |
10-Feb-2022 13:02:56  | INF | ### | | GYRO_TAU                  |      76.683ms|   0.00ms  | 40ms< DC <100ms |
