03-Feb-2022 11:41:10  | FRM | ### | ----------------------------------------------------------------------------
03-Feb-2022 11:41:10  | FRM | ### | LMEx Framework Version: 4.0.0.12
03-Feb-2022 11:41:10  | FRM | ### | LMEx 32Bit
03-Feb-2022 11:41:10  | FRM | ### | LMEx Sensor Version: 1.1.11.3
03-Feb-2022 11:41:10  | FRM | ### | User: MIB1RT
03-Feb-2022 11:41:10  | FRM | ### | User level: EXTENDED
03-Feb-2022 11:41:10  | FRM | ### | Test bench         : CANONLY
03-Feb-2022 11:41:10  | FRM | ### | Host name          : RT-Z0KG0
03-Feb-2022 11:41:10  | FRM | ### | Unibox Id          : 100
03-Feb-2022 11:41:10  | FRM | ### | Mainboard Number   : -1
03-Feb-2022 11:41:10  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
03-Feb-2022 11:41:10  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007980_8D-22-055\04-El._Testing_at_RT_Accel_Gyro(3)\01_meas\4927_FA
03-Feb-2022 11:41:10  | FRM | ### | Temporary file path: c:\TempMessdaten\\20220203114109\
03-Feb-2022 11:41:10  | FRM | ### | Movejob: deactivated
03-Feb-2022 11:41:10  | FRM | ### | TDMS ByteOrder: BigEndian
03-Feb-2022 11:41:10  | FRM | ### | TDMS language: german
03-Feb-2022 11:41:10  | FRM | ### | ----------------------------------------------------------------------------
03-Feb-2022 11:41:10  | FRM | ### | Info: temporary saving active
03-Feb-2022 11:41:10  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
03-Feb-2022 11:41:10  | FRM | ### | 
03-Feb-2022 11:41:10  | FRM | ### | ----------------------------------------------------------------------------
03-Feb-2022 11:41:10  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
03-Feb-2022 11:41:10  | FRM | ### | ----------------------------------------------------------------------------
03-Feb-2022 11:41:10  | FRM | ### | 
03-Feb-2022 11:41:10  | FRM | ### | Sensor Pos=1 Nr=1
03-Feb-2022 11:41:10  | FRM | ### | Sensor Pos=4 Nr=4927
03-Feb-2022 11:41:10  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
03-Feb-2022 11:41:10  | FRM | ### | Test initializeded
03-Feb-2022 11:41:10  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
03-Feb-2022 11:41:12  | INF | ### | Paranoia power reset (TM)
03-Feb-2022 11:41:14  | SEN | 001 | module_id:4911
03-Feb-2022 11:41:14  | SEN | 001 | SNR:b0b680870703132f
03-Feb-2022 11:41:14  | SEN | 001 | USNR:0000H6K250004047019KY
03-Feb-2022 11:41:15  | INF | ### | CRC 57365 crc read:57365
03-Feb-2022 11:41:15  | INF | ### | SensorNr1
03-Feb-2022 11:41:15  | INF | ### | 
03-Feb-2022 11:41:15  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
03-Feb-2022 11:41:17  | INF | ### | | RATE_X_wodrivewoCM        |     -0.088dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
03-Feb-2022 11:41:17  | INF | ### | | RATE_Y_wodrivewoCM        |      0.095dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
03-Feb-2022 11:41:18  | INF | ### | | RATE_Z_wodrivewoCM        |     -0.041dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
03-Feb-2022 11:41:19  | INF | ### | | Quad_X_wodrivewoCM        |      1.139dps|  0.43dps  | -4dps< DC <4dps, AC < 0.8dps |
03-Feb-2022 11:41:19  | INF | ### | | Quad_Y_wodrivewoCM        |      1.231dps|  0.31dps  | -4dps< DC <4dps, AC < 0.8dps |
03-Feb-2022 11:41:19  | INF | ### | | Quad_Z_wodrivewoCM        |     -0.778dps|  0.79dps  | -4dps< DC <4dps, AC < 0.8dps |
03-Feb-2022 11:41:22  | INF | ### | | CV_D_wodrivewoCM in TADC  |       0.047mV|   0.14mV  | -50mV< DC <50mV, AC < 5mV |
03-Feb-2022 11:41:24  | INF | ### | | CV_X_wodrivewoCM in TADC  |      15.811mV|   0.40mV  | -150mV< DC <150mV, AC < 5mV |
03-Feb-2022 11:41:25  | INF | ### | | CV_Y_wodrivewoCM in TADC  |     -31.611mV|   0.27mV  | -150mV< DC <150mV, AC < 5mV |
03-Feb-2022 11:41:27  | INF | ### | | CV_Z_wodrivewoCM in TADC  |      15.769mV|   0.35mV  | -150mV< DC <150mV, AC < 5mV |
03-Feb-2022 11:41:30  | INF | ### | | RATE_X_wodrivewCM         |     -0.084dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
03-Feb-2022 11:41:30  | INF | ### | | RATE_Y_wodrivewCM         |      0.078dps|  0.06dps  | -2dps< DC <2dps, AC < 0.1dps |
03-Feb-2022 11:41:30  | INF | ### | | RATE_Z_wodrivewCM         |     -0.018dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
03-Feb-2022 11:41:33  | INF | ### | | CV_D_wodrivewCM in TADC   |       0.234mV|   0.17mV  | -50mV< DC <50mV, AC < 5mV |
03-Feb-2022 11:41:34  | INF | ### | | CV_X_wodrivewCM in TADC   |      15.867mV|   0.34mV  | -150mV< DC <150mV, AC < 5mV |
03-Feb-2022 11:41:36  | INF | ### | | CV_Y_wodrivewCM in TADC   |     -32.106mV|   0.31mV  | -150mV< DC <150mV, AC < 5mV |
03-Feb-2022 11:41:37  | INF | ### | | CV_Z_wodrivewCM in TADC   |      16.060mV|   0.63mV  | -150mV< DC <150mV, AC < 5mV |
03-Feb-2022 11:41:37  | INF | ### | | CV_D_inTADC_diff          |       0.187mV|   0.00mV  | -2mV< DC <2mV |
03-Feb-2022 11:41:37  | INF | ### | | CV_X_inTADC_diff          |       0.056mV|   0.00mV  | -2mV< DC <2mV |
03-Feb-2022 11:41:37  | INF | ### | | CV_Y_inTADC_diff          |      -0.495mV|   0.00mV  | -2mV< DC <2mV |
03-Feb-2022 11:41:37  | INF | ### | | CV_Z_inTADC_diff          |       0.291mV|   0.00mV  | -2mV< DC <2mV |
03-Feb-2022 11:41:41  | INF | ### | | CM_OFFSET_wodrive in TADC |       2.505mV|   0.09mV  | -50mV< DC <50mV, AC < 5mV |
