03-Feb-2022 15:27:45  | FRM | ### | ----------------------------------------------------------------------------
03-Feb-2022 15:27:45  | FRM | ### | LMEx Framework Version: 4.0.0.12
03-Feb-2022 15:27:45  | FRM | ### | LMEx 32Bit
03-Feb-2022 15:27:45  | FRM | ### | LMEx Sensor Version: 1.1.11.3
03-Feb-2022 15:27:45  | FRM | ### | User: MIB1RT
03-Feb-2022 15:27:45  | FRM | ### | User level: EXTENDED
03-Feb-2022 15:27:45  | FRM | ### | Test bench         : CANONLY
03-Feb-2022 15:27:45  | FRM | ### | Host name          : RT-Z0KG0
03-Feb-2022 15:27:45  | FRM | ### | Unibox Id          : 100
03-Feb-2022 15:27:45  | FRM | ### | Mainboard Number   : -1
03-Feb-2022 15:27:45  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
03-Feb-2022 15:27:45  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007980_8D-22-055\04-El._Testing_at_RT_Accel_Gyro(3)\01_meas\4927_afterKnocks
03-Feb-2022 15:27:45  | FRM | ### | Temporary file path: c:\TempMessdaten\\20220203152745\
03-Feb-2022 15:27:45  | FRM | ### | Movejob: deactivated
03-Feb-2022 15:27:45  | FRM | ### | TDMS ByteOrder: BigEndian
03-Feb-2022 15:27:45  | FRM | ### | TDMS language: german
03-Feb-2022 15:27:45  | FRM | ### | ----------------------------------------------------------------------------
03-Feb-2022 15:27:45  | FRM | ### | Info: temporary saving active
03-Feb-2022 15:27:45  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
03-Feb-2022 15:27:45  | FRM | ### | 
03-Feb-2022 15:27:45  | FRM | ### | ----------------------------------------------------------------------------
03-Feb-2022 15:27:45  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
03-Feb-2022 15:27:45  | FRM | ### | ----------------------------------------------------------------------------
03-Feb-2022 15:27:45  | FRM | ### | 
03-Feb-2022 15:27:46  | FRM | ### | Sensor Pos=4 Nr=4927
03-Feb-2022 15:27:46  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
03-Feb-2022 15:27:46  | FRM | ### | Test initializeded
03-Feb-2022 15:27:46  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
03-Feb-2022 15:27:48  | INF | ### | Paranoia power reset (TM)
03-Feb-2022 15:27:50  | SEN | 004 | module_id:5417
03-Feb-2022 15:27:50  | SEN | 004 | SNR:3736763707071529
03-Feb-2022 15:27:50  | SEN | 004 | USNR:0000H36V84017041021KY
03-Feb-2022 15:27:51  | INF | ### | CRC 49348 crc read:49348
03-Feb-2022 15:27:51  | INF | ### | SensorNr4927
03-Feb-2022 15:27:51  | INF | ### | 
03-Feb-2022 15:27:51  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
03-Feb-2022 15:27:53  | INF | ### | | RATE_X_wodrivewoCM        |     -0.023dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
03-Feb-2022 15:27:53  | INF | ### | | RATE_Y_wodrivewoCM        |      0.060dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
03-Feb-2022 15:27:53  | INF | ### | | RATE_Z_wodrivewoCM        |      0.010dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
03-Feb-2022 15:27:54  | INF | ### | | Quad_X_wodrivewoCM        |      0.982dps|  0.28dps  | -4dps< DC <4dps, AC < 0.8dps |
03-Feb-2022 15:27:54  | INF | ### | | Quad_Y_wodrivewoCM        |      0.783dps|  0.47dps  | -4dps< DC <4dps, AC < 0.8dps |
03-Feb-2022 15:27:55  | INF | ### | | Quad_Z_wodrivewoCM        |     -0.539dps|  1.36dps  | -4dps< DC <4dps, AC < 0.8dps |
03-Feb-2022 15:27:58  | INF | ### | | CV_D_wodrivewoCM in TADC  |      -2.273mV|   0.09mV  | -50mV< DC <50mV, AC < 5mV |
03-Feb-2022 15:28:00  | INF | ### | | CV_X_wodrivewoCM in TADC  |      38.251mV|   0.35mV  | -150mV< DC <150mV, AC < 5mV |
03-Feb-2022 15:28:01  | INF | ### | | CV_Y_wodrivewoCM in TADC  |      24.105mV|   0.34mV  | -150mV< DC <150mV, AC < 5mV |
03-Feb-2022 15:28:03  | INF | ### | | CV_Z_wodrivewoCM in TADC  |      23.987mV|   0.32mV  | -150mV< DC <150mV, AC < 5mV |
03-Feb-2022 15:28:06  | INF | ### | | RATE_X_wodrivewCM         |     -0.016dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
03-Feb-2022 15:28:06  | INF | ### | | RATE_Y_wodrivewCM         |      0.039dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
03-Feb-2022 15:28:06  | INF | ### | | RATE_Z_wodrivewCM         |      0.007dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
03-Feb-2022 15:28:08  | INF | ### | | CV_D_wodrivewCM in TADC   |      -2.391mV|   0.10mV  | -50mV< DC <50mV, AC < 5mV |
03-Feb-2022 15:28:10  | INF | ### | | CV_X_wodrivewCM in TADC   |      38.346mV|   0.35mV  | -150mV< DC <150mV, AC < 5mV |
03-Feb-2022 15:28:12  | INF | ### | | CV_Y_wodrivewCM in TADC   |      24.161mV|   0.33mV  | -150mV< DC <150mV, AC < 5mV |
03-Feb-2022 15:28:13  | INF | ### | | CV_Z_wodrivewCM in TADC   |      23.579mV|   1.01mV  | -150mV< DC <150mV, AC < 5mV |
03-Feb-2022 15:28:13  | INF | ### | | CV_D_inTADC_diff          |      -0.118mV|   0.00mV  | -2mV< DC <2mV |
03-Feb-2022 15:28:13  | INF | ### | | CV_X_inTADC_diff          |       0.095mV|   0.00mV  | -2mV< DC <2mV |
03-Feb-2022 15:28:13  | INF | ### | | CV_Y_inTADC_diff          |       0.056mV|   0.00mV  | -2mV< DC <2mV |
03-Feb-2022 15:28:13  | INF | ### | | CV_Z_inTADC_diff          |      -0.408mV|   0.00mV  | -2mV< DC <2mV |
03-Feb-2022 15:28:16  | INF | ### | | CM_OFFSET_wodrive in TADC |      -9.603mV|   0.06mV  | -50mV< DC <50mV, AC < 5mV |
03-Feb-2022 15:28:17  | INF | ### | | Aout(4k_en)               |     378.377mV|   1.53mV  | 50mV< DC <550mV, AC < 7.5mV |
03-Feb-2022 15:28:18  | INF | ### | | Pout(4k_en)               |     -88.875mV|   0.19mV  | -300mV< DC <300mV, AC < 2mV |
03-Feb-2022 15:28:18  | INF | ### | | Aout(4k_en & pd_aa)       |     754.210mV|   2.91mV  | 100mV< DC <1100mV, AC < 7.5mV |
03-Feb-2022 15:28:19  | INF | ### | | Aout(4k_en & pd_ai)       |     747.957mV|   2.66mV  | 100mV< DC <1100mV, AC < 7.5mV |
03-Feb-2022 15:28:20  | INF | ### | | Aout normal mode          |     758.829mV|   1.92mV  | 100mV< DC <1100mV, AC < 7.5mV |
03-Feb-2022 15:28:20  | INF | ### | | Pout normal mode          |     -85.051mV|   0.18mV  | -300mV< DC <300mV, AC < 2mV |
03-Feb-2022 15:28:20  | INF | ### | | asymm_pout_4um_diff       |      -3.824mV|   0.00mV  | -10mV< DC <-0.5mV |
03-Feb-2022 15:28:20  | INF | ### | | asymm_aout_4um_ratio      |         0.499|     0.00  | 0.49< DC <0.51 |
03-Feb-2022 15:28:20  | INF | ### | | asymm_aout_pdaaai_ratio   |         1.008|     0.00  | 0.975< DC <1.025 |
03-Feb-2022 15:28:21  | INF | ### | | Normal_Rate_x             |     -0.202dps|  0.09dps  | -25dps< DC <25dps, AC < 0.2dps |
03-Feb-2022 15:28:21  | INF | ### | | Normal_Rate_y             |     -0.316dps|  0.08dps  | -25dps< DC <25dps, AC < 0.2dps |
03-Feb-2022 15:28:21  | INF | ### | | Normal_Rate_z             |      0.163dps|  0.05dps  | -25dps< DC <25dps, AC < 0.2dps |
03-Feb-2022 15:28:22  | INF | ### | | CM_OFFSET_normal in TADC  |      -9.551mV|   0.06mV  | 50mV< DC <550mV, AC < 7.5mV |
03-Feb-2022 15:28:22  | INF | ### | | AoutTrim                  |     769.531mV|   0.00mV  | 100mV< DC <1100mV |
03-Feb-2022 15:28:23  | INF | ### | | Aout_s16                  |     758.049mV|   0.00mV  | 200mV< DC <1100mV |
