21-Jan-2022 06:52:04  | FRM | ### | ----------------------------------------------------------------------------
21-Jan-2022 06:52:04  | FRM | ### | LMEx Framework Version: 4.0.0.12
21-Jan-2022 06:52:04  | FRM | ### | LMEx 32Bit
21-Jan-2022 06:52:04  | FRM | ### | LMEx Sensor Version: 1.1.11.3
21-Jan-2022 06:52:04  | FRM | ### | User: HCI7RT
21-Jan-2022 06:52:04  | FRM | ### | User level: EXTENDED
21-Jan-2022 06:52:04  | FRM | ### | Test bench         : CANONLY
21-Jan-2022 06:52:04  | FRM | ### | Host name          : RT-Z0EN3
21-Jan-2022 06:52:04  | FRM | ### | Unibox Id          : 100
21-Jan-2022 06:52:04  | FRM | ### | Mainboard Number   : -1
21-Jan-2022 06:52:04  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
21-Jan-2022 06:52:04  | FRM | ### | Final file path    : \\bosch.com\dfsrb\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007937_8D-22-035\04-El._Testing_at_RT_Accel_Gyro(3)\01_meas\FA
21-Jan-2022 06:52:04  | FRM | ### | Temporary file path: c:\TempMessdaten\\20220121065204\
21-Jan-2022 06:52:04  | FRM | ### | Movejob: deactivated
21-Jan-2022 06:52:04  | FRM | ### | TDMS ByteOrder: BigEndian
21-Jan-2022 06:52:04  | FRM | ### | TDMS language: german
21-Jan-2022 06:52:04  | FRM | ### | ----------------------------------------------------------------------------
21-Jan-2022 06:52:04  | FRM | ### | Info: temporary saving active
21-Jan-2022 06:52:04  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
21-Jan-2022 06:52:04  | FRM | ### | 
21-Jan-2022 06:52:04  | FRM | ### | ----------------------------------------------------------------------------
21-Jan-2022 06:52:04  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
21-Jan-2022 06:52:04  | FRM | ### | ----------------------------------------------------------------------------
21-Jan-2022 06:52:04  | FRM | ### | 
21-Jan-2022 06:52:04  | FRM | ### | Sensor Pos=1 Nr=1
21-Jan-2022 06:52:04  | FRM | ### | Sensor Pos=4 Nr=4898
21-Jan-2022 06:52:04  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
21-Jan-2022 06:52:04  | FRM | ### | Test initializeded
21-Jan-2022 06:52:04  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
21-Jan-2022 06:52:06  | INF | ### | Paranoia power reset (TM)
21-Jan-2022 06:52:08  | SEN | 001 | module_id:14099
21-Jan-2022 06:52:09  | SEN | 001 | SNR:b0b6808707033713
21-Jan-2022 06:52:09  | SEN | 001 | USNR:0000H6K250004019055KY
21-Jan-2022 06:52:09  | INF | ### | CRC 42917 crc read:42917
21-Jan-2022 06:52:09  | INF | ### | SensorNr1
21-Jan-2022 06:52:09  | INF | ### | 
21-Jan-2022 06:52:09  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
21-Jan-2022 06:52:12  | INF | ### | | RATE_X_wodrivewoCM        |      -0.08dps|  0.04dps  | DC <2dps, AC < 0.088dps |
21-Jan-2022 06:52:12  | INF | ### | | RATE_Y_wodrivewoCM        |      -0.02dps|  0.05dps  | DC <2dps, AC < 0.088dps |
21-Jan-2022 06:52:12  | INF | ### | | RATE_Z_wodrivewoCM        |       0.00dps|  0.04dps  | DC <2dps, AC < 0.088dps |
21-Jan-2022 06:52:13  | INF | ### | | Quad_X_wodrivewoCM        |       0.94dps|  0.26dps  | comment |
21-Jan-2022 06:52:13  | INF | ### | | Quad_Y_wodrivewoCM        |       1.26dps|  0.26dps  | comment |
21-Jan-2022 06:52:13  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.96dps|  0.87dps  | comment |
21-Jan-2022 06:52:16  | INF | ### | | CV_D_wodrivewoCM in TADC  |        7.05mV|   0.09mV  |  |
21-Jan-2022 06:52:18  | INF | ### | | CV_X_wodrivewoCM in TADC  |       10.19mV|   0.29mV  |  |
21-Jan-2022 06:52:19  | INF | ### | | CV_Y_wodrivewoCM in TADC  |       -4.50mV|   0.33mV  |  |
21-Jan-2022 06:52:21  | INF | ### | | CV_Z_wodrivewoCM in TADC  |       61.88mV|   0.62mV  |  |
21-Jan-2022 06:52:21  | INF | ### | | RATE_X_wodrivewoCM_s30    |       12.82mv|  -0.23mv  | pls compare it with CV_X_wodrivewoCM in TADC |
21-Jan-2022 06:52:22  | INF | ### | | RATE_Y_wodrivewoCM_s30    |        1.41mv|   0.13mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
21-Jan-2022 06:52:22  | INF | ### | | RATE_Z_wodrivewoCM_s30    |       57.98mv|  -0.30mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
21-Jan-2022 06:52:22  | INF | ### | | S30_CV_X_diff_wodrivewoCM |        2.62mv|   0.00mv  |  |
21-Jan-2022 06:52:22  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |        5.92mv|   0.00mv  |  |
21-Jan-2022 06:52:22  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |       -3.91mv|   0.00mv  |  |
21-Jan-2022 06:52:24  | INF | ### | | RATE_X_wodrivewCM         |      -0.11dps|  0.04dps  | DC <2dps, AC < 0.1dps |
21-Jan-2022 06:52:24  | INF | ### | | RATE_Y_wodrivewCM         |      -0.01dps|  0.05dps  | DC <2dps, AC < 0.1dps |
21-Jan-2022 06:52:24  | INF | ### | | RATE_Z_wodrivewCM         |       0.01dps|  0.04dps  | DC <2dps, AC < 0.1dps |
21-Jan-2022 06:52:26  | INF | ### | | CV_D_wodrivewCM in TADC   |        7.14mV|   0.10mV  |  |
21-Jan-2022 06:52:28  | INF | ### | | CV_X_wodrivewCM in TADC   |       10.09mV|   0.31mV  |  |
21-Jan-2022 06:52:29  | INF | ### | | CV_Y_wodrivewCM in TADC   |       -4.60mV|   0.27mV  |  |
21-Jan-2022 06:52:31  | INF | ### | | CV_Z_wodrivewCM in TADC   |       62.15mV|   0.77mV  |  |
21-Jan-2022 06:52:31  | INF | ### | | CV_D_inTADC_diff          |        0.09mV|   0.00mV  | W/ CM minus W/O CM |
21-Jan-2022 06:52:31  | INF | ### | | CV_X_inTADC_diff          |       -0.11mV|   0.00mV  | W/ CM minus W/O CM |
