31-Jan-2022 10:54:43  | FRM | ### | ----------------------------------------------------------------------------
31-Jan-2022 10:54:43  | FRM | ### | LMEx Framework Version: 4.0.0.12
31-Jan-2022 10:54:43  | FRM | ### | LMEx 32Bit
31-Jan-2022 10:54:43  | FRM | ### | LMEx Sensor Version: 1.1.11.3
31-Jan-2022 10:54:43  | FRM | ### | User: MIB1RT
31-Jan-2022 10:54:43  | FRM | ### | User level: EXTENDED
31-Jan-2022 10:54:43  | FRM | ### | Test bench         : CANONLY
31-Jan-2022 10:54:43  | FRM | ### | Host name          : RT-Z0KG0
31-Jan-2022 10:54:43  | FRM | ### | Unibox Id          : 100
31-Jan-2022 10:54:43  | FRM | ### | Mainboard Number   : -1
31-Jan-2022 10:54:43  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
31-Jan-2022 10:54:43  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007969_8D-22-051\04-El._Testing_at_RT_Accel_Gyro(3)\01_meas\FA
31-Jan-2022 10:54:43  | FRM | ### | Temporary file path: c:\TempMessdaten\\20220131105443\
31-Jan-2022 10:54:43  | FRM | ### | Movejob: deactivated
31-Jan-2022 10:54:43  | FRM | ### | TDMS ByteOrder: BigEndian
31-Jan-2022 10:54:43  | FRM | ### | TDMS language: german
31-Jan-2022 10:54:43  | FRM | ### | ----------------------------------------------------------------------------
31-Jan-2022 10:54:43  | FRM | ### | Info: temporary saving active
31-Jan-2022 10:54:43  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
31-Jan-2022 10:54:43  | FRM | ### | 
31-Jan-2022 10:54:43  | FRM | ### | ----------------------------------------------------------------------------
31-Jan-2022 10:54:43  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
31-Jan-2022 10:54:43  | FRM | ### | ----------------------------------------------------------------------------
31-Jan-2022 10:54:43  | FRM | ### | 
31-Jan-2022 10:54:43  | FRM | ### | Sensor Pos=1 Nr=1
31-Jan-2022 10:54:43  | FRM | ### | Sensor Pos=2 Nr=4922
31-Jan-2022 10:54:43  | FRM | ### | Sensor Pos=3 Nr=4923
31-Jan-2022 10:54:43  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
31-Jan-2022 10:54:43  | FRM | ### | Test initializeded
31-Jan-2022 10:54:43  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
31-Jan-2022 10:54:45  | INF | ### | Paranoia power reset (TM)
31-Jan-2022 10:54:47  | SEN | 001 | module_id:4911
31-Jan-2022 10:54:48  | SEN | 001 | SNR:b0b680870703132f
31-Jan-2022 10:54:48  | SEN | 001 | USNR:0000H6K250004047019KY
31-Jan-2022 10:54:48  | INF | ### | CRC 57365 crc read:57365
31-Jan-2022 10:54:48  | INF | ### | SensorNr1
31-Jan-2022 10:54:48  | INF | ### | 
31-Jan-2022 10:54:48  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
31-Jan-2022 10:54:51  | INF | ### | | RATE_X_wodrivewoCM        |     -0.089dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 10:54:51  | INF | ### | | RATE_Y_wodrivewoCM        |      0.086dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 10:54:51  | INF | ### | | RATE_Z_wodrivewoCM        |     -0.029dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 10:54:52  | INF | ### | | Quad_X_wodrivewoCM        |      1.093dps|  0.42dps  | -4dps< DC <4dps, AC < 0.8dps |
31-Jan-2022 10:54:52  | INF | ### | | Quad_Y_wodrivewoCM        |      1.277dps|  0.18dps  | -4dps< DC <4dps, AC < 0.8dps |
31-Jan-2022 10:54:52  | INF | ### | | Quad_Z_wodrivewoCM        |     -0.595dps|  1.15dps  | -4dps< DC <4dps, AC < 0.8dps |
31-Jan-2022 10:54:56  | INF | ### | | CV_D_wodrivewoCM in TADC  |       0.247mV|   0.19mV  | -50mV< DC <50mV, AC < 5mV |
31-Jan-2022 10:54:57  | INF | ### | | CV_X_wodrivewoCM in TADC  |      15.227mV|   0.43mV  | -150mV< DC <150mV, AC < 5mV |
31-Jan-2022 10:54:59  | INF | ### | | CV_Y_wodrivewoCM in TADC  |     -31.646mV|   0.35mV  | -150mV< DC <150mV, AC < 5mV |
31-Jan-2022 10:55:00  | INF | ### | | CV_Z_wodrivewoCM in TADC  |      15.697mV|   0.80mV  | -150mV< DC <150mV, AC < 5mV |
31-Jan-2022 10:55:03  | INF | ### | | RATE_X_wodrivewCM         |     -0.099dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 10:55:03  | INF | ### | | RATE_Y_wodrivewCM         |      0.096dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 10:55:03  | INF | ### | | RATE_Z_wodrivewCM         |     -0.011dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 10:55:06  | INF | ### | | CV_D_wodrivewCM in TADC   |       0.300mV|   0.18mV  | -50mV< DC <50mV, AC < 5mV |
31-Jan-2022 10:55:07  | INF | ### | | CV_X_wodrivewCM in TADC   |      15.472mV|   0.29mV  | -150mV< DC <150mV, AC < 5mV |
31-Jan-2022 10:55:09  | INF | ### | | CV_Y_wodrivewCM in TADC   |     -31.776mV|   0.27mV  | -150mV< DC <150mV, AC < 5mV |
31-Jan-2022 10:55:10  | INF | ### | | CV_Z_wodrivewCM in TADC   |      15.720mV|   0.72mV  | -150mV< DC <150mV, AC < 5mV |
31-Jan-2022 10:55:10  | INF | ### | | CV_D_inTADC_diff          |       0.053mV|   0.00mV  | -2mV< DC <2mV |
31-Jan-2022 10:55:10  | INF | ### | | CV_X_inTADC_diff          |       0.245mV|   0.00mV  | -2mV< DC <2mV |
31-Jan-2022 10:55:10  | INF | ### | | CV_Y_inTADC_diff          |      -0.130mV|   0.00mV  | -2mV< DC <2mV |
31-Jan-2022 10:55:10  | INF | ### | | CV_Z_inTADC_diff          |       0.023mV|   0.00mV  | -2mV< DC <2mV |
31-Jan-2022 10:55:13  | INF | ### | | CM_OFFSET_wodrive in TADC |       2.507mV|   0.08mV  | -50mV< DC <50mV, AC < 5mV |
31-Jan-2022 10:55:15  | INF | ### | | Aout(4k_en)               |     312.876mV|   1.80mV  | 50mV< DC <550mV, AC < 7.5mV |
