06-Dec-2021 17:18:09  | FRM | ### | ----------------------------------------------------------------------------
06-Dec-2021 17:18:09  | FRM | ### | LMEx Framework Version: 4.0.0.12
06-Dec-2021 17:18:09  | FRM | ### | LMEx 32Bit
06-Dec-2021 17:18:09  | FRM | ### | LMEx Sensor Version: 1.1.11.3
06-Dec-2021 17:18:09  | FRM | ### | User: MIB1RT
06-Dec-2021 17:18:09  | FRM | ### | User level: EXTENDED
06-Dec-2021 17:18:09  | FRM | ### | Test bench         : CANONLY
06-Dec-2021 17:18:09  | FRM | ### | Host name          : RT-Z0KG0
06-Dec-2021 17:18:09  | FRM | ### | Unibox Id          : 100
06-Dec-2021 17:18:09  | FRM | ### | Mainboard Number   : -1
06-Dec-2021 17:18:09  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
06-Dec-2021 17:18:09  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007738_8D-21-670\04-El._Testing_at_RT_Accel_Gyro(3)\FA_4720-4721
06-Dec-2021 17:18:09  | FRM | ### | Temporary file path: c:\TempMessdaten\\20211206171809\
06-Dec-2021 17:18:09  | FRM | ### | Movejob: deactivated
06-Dec-2021 17:18:09  | FRM | ### | TDMS ByteOrder: BigEndian
06-Dec-2021 17:18:09  | FRM | ### | TDMS language: german
06-Dec-2021 17:18:09  | FRM | ### | ----------------------------------------------------------------------------
06-Dec-2021 17:18:09  | FRM | ### | Info: temporary saving active
06-Dec-2021 17:18:09  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
06-Dec-2021 17:18:09  | FRM | ### | 
06-Dec-2021 17:18:09  | FRM | ### | ----------------------------------------------------------------------------
06-Dec-2021 17:18:09  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
06-Dec-2021 17:18:09  | FRM | ### | ----------------------------------------------------------------------------
06-Dec-2021 17:18:09  | FRM | ### | 
06-Dec-2021 17:18:09  | FRM | ### | Sensor Pos=1 Nr=1
06-Dec-2021 17:18:09  | FRM | ### | Sensor Pos=2 Nr=4720
06-Dec-2021 17:18:09  | FRM | ### | Sensor Pos=3 Nr=4721
06-Dec-2021 17:18:09  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
06-Dec-2021 17:18:09  | FRM | ### | Test initializeded
06-Dec-2021 17:18:09  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
06-Dec-2021 17:18:11  | INF | ### | Paranoia power reset (TM)
06-Dec-2021 17:18:13  | SEN | 001 | module_id:12564
06-Dec-2021 17:18:13  | SEN | 001 | SNR:6928726907053114
06-Dec-2021 17:18:14  | SEN | 001 | USNR:0000H2NH52019020049KY
06-Dec-2021 17:18:14  | INF | ### | CRC 28195 crc read:28195
06-Dec-2021 17:18:14  | INF | ### | SensorNr1
06-Dec-2021 17:18:14  | INF | ### | 
06-Dec-2021 17:18:14  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
06-Dec-2021 17:18:16  | INF | ### | | RATE_X_wodrivewoCM        |      -0.09dps|  0.04dps  | DC <2dps, AC < 0.088dps |
06-Dec-2021 17:18:16  | INF | ### | | RATE_Y_wodrivewoCM        |       0.07dps|  0.05dps  | DC <2dps, AC < 0.088dps |
06-Dec-2021 17:18:16  | INF | ### | | RATE_Z_wodrivewoCM        |       0.10dps|  0.04dps  | DC <2dps, AC < 0.088dps |
06-Dec-2021 17:18:17  | INF | ### | | Quad_X_wodrivewoCM        |       0.84dps|  0.36dps  | comment |
06-Dec-2021 17:18:18  | INF | ### | | Quad_Y_wodrivewoCM        |       1.10dps|  0.21dps  | comment |
06-Dec-2021 17:18:18  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.92dps|  1.00dps  | comment |
06-Dec-2021 17:18:21  | INF | ### | | CV_D_wodrivewoCM in TADC  |       10.35mV|   0.07mV  |  |
06-Dec-2021 17:18:23  | INF | ### | | CV_X_wodrivewoCM in TADC  |       -5.84mV|   0.36mV  |  |
06-Dec-2021 17:18:24  | INF | ### | | CV_Y_wodrivewoCM in TADC  |       32.97mV|   0.34mV  |  |
06-Dec-2021 17:18:26  | INF | ### | | CV_Z_wodrivewoCM in TADC  |       -8.15mV|   0.85mV  |  |
06-Dec-2021 17:18:27  | INF | ### | | RATE_X_wodrivewoCM_s30    |      -12.54mv|  -0.20mv  | pls compare it with CV_X_wodrivewoCM in TADC |
06-Dec-2021 17:18:27  | INF | ### | | RATE_Y_wodrivewoCM_s30    |       24.22mv|   0.19mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
06-Dec-2021 17:18:27  | INF | ### | | RATE_Z_wodrivewoCM_s30    |       -0.83mv|  -0.54mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
06-Dec-2021 17:18:27  | INF | ### | | S30_CV_X_diff_wodrivewoCM |       -6.70mv|   0.00mv  |  |
06-Dec-2021 17:18:27  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |       -8.76mv|   0.00mv  |  |
06-Dec-2021 17:18:27  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |        7.31mv|   0.00mv  |  |
06-Dec-2021 17:18:29  | INF | ### | | RATE_X_wodrivewCM         |      -0.11dps|  0.04dps  | DC <2dps, AC < 0.1dps |
06-Dec-2021 17:18:29  | INF | ### | | RATE_Y_wodrivewCM         |       0.05dps|  0.05dps  | DC <2dps, AC < 0.1dps |
06-Dec-2021 17:18:29  | INF | ### | | RATE_Z_wodrivewCM         |       0.09dps|  0.04dps  | DC <2dps, AC < 0.1dps |
06-Dec-2021 17:18:32  | INF | ### | | CV_D_wodrivewCM in TADC   |       10.34mV|   0.08mV  |  |
06-Dec-2021 17:18:33  | INF | ### | | CV_X_wodrivewCM in TADC   |       -5.50mV|   0.30mV  |  |
06-Dec-2021 17:18:35  | INF | ### | | CV_Y_wodrivewCM in TADC   |       33.28mV|   0.27mV  |  |
06-Dec-2021 17:18:37  | INF | ### | | CV_Z_wodrivewCM in TADC   |       -7.74mV|   0.37mV  |  |
06-Dec-2021 17:18:37  | INF | ### | | CV_D_inTADC_diff          |       -0.01mV|   0.00mV  | W/ CM minus W/O CM |
06-Dec-2021 17:18:37  | INF | ### | | CV_X_inTADC_diff          |        0.34mV|   0.00mV  | W/ CM minus W/O CM |
06-Dec-2021 17:18:37  | INF | ### | | CV_Y_inTADC_diff          |        0.31mV|   0.00mV  | W/ CM minus W/O CM |
