14-Dec-2021 18:00:34  | FRM | ### | ----------------------------------------------------------------------------
14-Dec-2021 18:00:34  | FRM | ### | LMEx Framework Version: 4.0.0.12
14-Dec-2021 18:00:34  | FRM | ### | LMEx 32Bit
14-Dec-2021 18:00:34  | FRM | ### | LMEx Sensor Version: 1.1.11.3
14-Dec-2021 18:00:34  | FRM | ### | User: MIB1RT
14-Dec-2021 18:00:34  | FRM | ### | User level: EXTENDED
14-Dec-2021 18:00:34  | FRM | ### | Test bench         : CANONLY
14-Dec-2021 18:00:34  | FRM | ### | Host name          : RT-Z0KG0
14-Dec-2021 18:00:34  | FRM | ### | Unibox Id          : 100
14-Dec-2021 18:00:34  | FRM | ### | Mainboard Number   : -1
14-Dec-2021 18:00:34  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
14-Dec-2021 18:00:34  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007764_8D-21-685\04-El._Testing_at_RT_Accel_Gyro(3)\FA_4754_afterDrops10x3
14-Dec-2021 18:00:34  | FRM | ### | Temporary file path: c:\TempMessdaten\\20211214180034\
14-Dec-2021 18:00:34  | FRM | ### | Movejob: deactivated
14-Dec-2021 18:00:34  | FRM | ### | TDMS ByteOrder: BigEndian
14-Dec-2021 18:00:34  | FRM | ### | TDMS language: german
14-Dec-2021 18:00:34  | FRM | ### | ----------------------------------------------------------------------------
14-Dec-2021 18:00:34  | FRM | ### | Info: temporary saving active
14-Dec-2021 18:00:34  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
14-Dec-2021 18:00:34  | FRM | ### | 
14-Dec-2021 18:00:34  | FRM | ### | ----------------------------------------------------------------------------
14-Dec-2021 18:00:34  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
14-Dec-2021 18:00:34  | FRM | ### | ----------------------------------------------------------------------------
14-Dec-2021 18:00:34  | FRM | ### | 
14-Dec-2021 18:00:34  | FRM | ### | Sensor Pos=1 Nr=1
14-Dec-2021 18:00:34  | FRM | ### | Sensor Pos=4 Nr=4754
14-Dec-2021 18:00:34  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
14-Dec-2021 18:00:34  | FRM | ### | Test initializeded
14-Dec-2021 18:00:34  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
14-Dec-2021 18:00:36  | INF | ### | Paranoia power reset (TM)
14-Dec-2021 18:00:38  | SEN | 001 | module_id:14099
14-Dec-2021 18:00:38  | SEN | 001 | SNR:b0b6808707033713
14-Dec-2021 18:00:39  | SEN | 001 | USNR:0000H6K250004019055KY
14-Dec-2021 18:00:39  | INF | ### | CRC 42917 crc read:42917
14-Dec-2021 18:00:39  | INF | ### | SensorNr1
14-Dec-2021 18:00:39  | INF | ### | 
14-Dec-2021 18:00:39  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
14-Dec-2021 18:00:41  | INF | ### | | RATE_X_wodrivewoCM        |      -0.08dps|  0.04dps  | DC <2dps, AC < 0.088dps |
14-Dec-2021 18:00:41  | INF | ### | | RATE_Y_wodrivewoCM        |      -0.02dps|  0.05dps  | DC <2dps, AC < 0.088dps |
14-Dec-2021 18:00:42  | INF | ### | | RATE_Z_wodrivewoCM        |       0.00dps|  0.05dps  | DC <2dps, AC < 0.088dps |
14-Dec-2021 18:00:42  | INF | ### | | Quad_X_wodrivewoCM        |       0.93dps|  0.23dps  | comment |
14-Dec-2021 18:00:43  | INF | ### | | Quad_Y_wodrivewoCM        |       1.23dps|  0.19dps  | comment |
14-Dec-2021 18:00:43  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.87dps|  1.19dps  | comment |
14-Dec-2021 18:00:46  | INF | ### | | CV_D_wodrivewoCM in TADC  |        6.93mV|   0.09mV  |  |
14-Dec-2021 18:00:47  | INF | ### | | CV_X_wodrivewoCM in TADC  |       10.27mV|   0.31mV  |  |
14-Dec-2021 18:00:49  | INF | ### | | CV_Y_wodrivewoCM in TADC  |       -5.02mV|   0.35mV  |  |
14-Dec-2021 18:00:50  | INF | ### | | CV_Z_wodrivewoCM in TADC  |       62.18mV|   0.35mV  |  |
14-Dec-2021 18:00:51  | INF | ### | | RATE_X_wodrivewoCM_s30    |       13.26mv|  -0.20mv  | pls compare it with CV_X_wodrivewoCM in TADC |
14-Dec-2021 18:00:51  | INF | ### | | RATE_Y_wodrivewoCM_s30    |        1.26mv|   0.16mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
14-Dec-2021 18:00:51  | INF | ### | | RATE_Z_wodrivewoCM_s30    |       58.07mv|  -0.52mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
14-Dec-2021 18:00:51  | INF | ### | | S30_CV_X_diff_wodrivewoCM |        3.00mv|   0.00mv  |  |
14-Dec-2021 18:00:51  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |        6.29mv|   0.00mv  |  |
14-Dec-2021 18:00:51  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |       -4.11mv|   0.00mv  |  |
14-Dec-2021 18:00:53  | INF | ### | | RATE_X_wodrivewCM         |      -0.08dps|  0.04dps  | DC <2dps, AC < 0.1dps |
14-Dec-2021 18:00:53  | INF | ### | | RATE_Y_wodrivewCM         |      -0.02dps|  0.04dps  | DC <2dps, AC < 0.1dps |
14-Dec-2021 18:00:53  | INF | ### | | RATE_Z_wodrivewCM         |      -0.01dps|  0.04dps  | DC <2dps, AC < 0.1dps |
14-Dec-2021 18:00:56  | INF | ### | | CV_D_wodrivewCM in TADC   |        7.18mV|   0.07mV  |  |
14-Dec-2021 18:00:57  | INF | ### | | CV_X_wodrivewCM in TADC   |       10.38mV|   0.29mV  |  |
14-Dec-2021 18:00:59  | INF | ### | | CV_Y_wodrivewCM in TADC   |       -4.25mV|   0.31mV  |  |
14-Dec-2021 18:01:00  | INF | ### | | CV_Z_wodrivewCM in TADC   |       61.87mV|   0.36mV  |  |
14-Dec-2021 18:01:00  | INF | ### | | CV_D_inTADC_diff          |        0.25mV|   0.00mV  | W/ CM minus W/O CM |
14-Dec-2021 18:01:00  | INF | ### | | CV_X_inTADC_diff          |        0.12mV|   0.00mV  | W/ CM minus W/O CM |
14-Dec-2021 18:01:00  | INF | ### | | CV_Y_inTADC_diff          |        0.77mV|   0.00mV  | W/ CM minus W/O CM |
14-Dec-2021 18:01:00  | INF | ### | | CV_Z_inTADC_diff          |       -0.31mV|   0.00mV  | W/ CM minus W/O CM |
14-Dec-2021 18:01:01  | INF | ### | | RATE_X_wodrivewCM_s30     |       13.19mv|  -0.14mv  | pls compare it with CV_X_wodrivewCM in TADC |
14-Dec-2021 18:01:01  | INF | ### | | RATE_Y_wodrivewCM_s30     |        1.46mv|   0.20mv  | pls compare it with CV_Y_wodrivewCM in TADC |
14-Dec-2021 18:01:01  | INF | ### | | RATE_Z_wodrivewCM_s30     |       58.00mv|  -0.50mv  | pls compare it with CV_Z_wdrivewoCM in TADC |
14-Dec-2021 18:01:01  | INF | ### | | S30_CV_X_diff_wodrivewCM  |        2.80mv|   0.00mv  |  |
14-Dec-2021 18:01:01  | INF | ### | | S30_CV_Y_diff_wodrivewCM  |        5.71mv|   0.00mv  |  |
14-Dec-2021 18:01:01  | INF | ### | | S30_CV_Z_diff_wodrivewCM  |       -3.87mv|   0.00mv  |  |
14-Dec-2021 18:01:03  | INF | ### | | CM_OFFSET_wodrive in TADC |        4.58mV|   0.15mV  |  |
14-Dec-2021 18:01:05  | INF | ### | | Aout(4k_en)               |      334.70mV|   1.10mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
14-Dec-2021 18:01:05  | INF | ### | | Pout(4k_en)               |      134.80mV|   0.31mV  | ^~4k_en=1; cp_cvd=0; \\=> value recovered?~^ |
