15-Dec-2021 17:22:25  | FRM | ### | ----------------------------------------------------------------------------
15-Dec-2021 17:22:25  | FRM | ### | LMEx Framework Version: 4.0.0.12
15-Dec-2021 17:22:25  | FRM | ### | LMEx 32Bit
15-Dec-2021 17:22:25  | FRM | ### | LMEx Sensor Version: 1.1.11.3
15-Dec-2021 17:22:25  | FRM | ### | User: MIB1RT
15-Dec-2021 17:22:25  | FRM | ### | User level: EXTENDED
15-Dec-2021 17:22:25  | FRM | ### | Test bench         : CANONLY
15-Dec-2021 17:22:25  | FRM | ### | Host name          : RT-Z0KG0
15-Dec-2021 17:22:25  | FRM | ### | Unibox Id          : 100
15-Dec-2021 17:22:25  | FRM | ### | Mainboard Number   : -1
15-Dec-2021 17:22:25  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
15-Dec-2021 17:22:25  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007765_8D-21-686\04-El._Testing_at_RT_Accel_Gyro(3)\FA_4755
15-Dec-2021 17:22:25  | FRM | ### | Temporary file path: c:\TempMessdaten\\20211215172225\
15-Dec-2021 17:22:25  | FRM | ### | Movejob: deactivated
15-Dec-2021 17:22:25  | FRM | ### | TDMS ByteOrder: BigEndian
15-Dec-2021 17:22:25  | FRM | ### | TDMS language: german
15-Dec-2021 17:22:25  | FRM | ### | ----------------------------------------------------------------------------
15-Dec-2021 17:22:25  | FRM | ### | Info: temporary saving active
15-Dec-2021 17:22:25  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
15-Dec-2021 17:22:25  | FRM | ### | 
15-Dec-2021 17:22:25  | FRM | ### | ----------------------------------------------------------------------------
15-Dec-2021 17:22:25  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
15-Dec-2021 17:22:25  | FRM | ### | ----------------------------------------------------------------------------
15-Dec-2021 17:22:25  | FRM | ### | 
15-Dec-2021 17:22:25  | FRM | ### | Sensor Pos=1 Nr=1
15-Dec-2021 17:22:25  | FRM | ### | Sensor Pos=4 Nr=4755
15-Dec-2021 17:22:25  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
15-Dec-2021 17:22:25  | FRM | ### | Test initializeded
15-Dec-2021 17:22:25  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
15-Dec-2021 17:22:28  | INF | ### | Paranoia power reset (TM)
15-Dec-2021 17:22:30  | SEN | 001 | module_id:8256
15-Dec-2021 17:22:30  | SEN | 001 | SNR:b0b6808707032040
15-Dec-2021 17:22:31  | SEN | 001 | USNR:0000H6K250004064032KY
15-Dec-2021 17:22:32  | INF | ### | CRC 64138 crc read:64138
15-Dec-2021 17:22:32  | INF | ### | SensorNr1
15-Dec-2021 17:22:32  | INF | ### | 
15-Dec-2021 17:22:32  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
15-Dec-2021 17:22:34  | INF | ### | | RATE_X_wodrivewoCM        |      -0.01dps|  0.04dps  | DC <2dps, AC < 0.088dps |
15-Dec-2021 17:22:35  | INF | ### | | RATE_Y_wodrivewoCM        |       0.16dps|  0.05dps  | DC <2dps, AC < 0.088dps |
15-Dec-2021 17:22:35  | INF | ### | | RATE_Z_wodrivewoCM        |       0.04dps|  0.06dps  | DC <2dps, AC < 0.088dps |
15-Dec-2021 17:22:36  | INF | ### | | Quad_X_wodrivewoCM        |       1.23dps|  0.56dps  | comment |
15-Dec-2021 17:22:36  | INF | ### | | Quad_Y_wodrivewoCM        |       1.55dps|  0.25dps  | comment |
15-Dec-2021 17:22:36  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.35dps|  1.53dps  | comment |
15-Dec-2021 17:22:39  | INF | ### | | CV_D_wodrivewoCM in TADC  |       -2.97mV|   0.13mV  |  |
15-Dec-2021 17:22:41  | INF | ### | | CV_X_wodrivewoCM in TADC  |       19.52mV|   0.37mV  |  |
15-Dec-2021 17:22:42  | INF | ### | | CV_Y_wodrivewoCM in TADC  |        5.07mV|   0.30mV  |  |
15-Dec-2021 17:22:44  | INF | ### | | CV_Z_wodrivewoCM in TADC  |       -1.62mV|   0.43mV  |  |
15-Dec-2021 17:22:45  | INF | ### | | RATE_X_wodrivewoCM_s30    |       15.96mv|  -0.25mv  | pls compare it with CV_X_wodrivewoCM in TADC |
15-Dec-2021 17:22:45  | INF | ### | | RATE_Y_wodrivewoCM_s30    |        5.75mv|   0.16mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
15-Dec-2021 17:22:45  | INF | ### | | RATE_Z_wodrivewoCM_s30    |       -8.56mv|  -0.67mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
15-Dec-2021 17:22:45  | INF | ### | | S30_CV_X_diff_wodrivewoCM |       -3.55mv|   0.00mv  |  |
15-Dec-2021 17:22:45  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |        0.68mv|   0.00mv  |  |
15-Dec-2021 17:22:45  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |       -6.93mv|   0.00mv  |  |
15-Dec-2021 17:22:47  | INF | ### | | RATE_X_wodrivewCM         |      -0.01dps|  0.04dps  | DC <2dps, AC < 0.1dps |
15-Dec-2021 17:22:47  | INF | ### | | RATE_Y_wodrivewCM         |       0.16dps|  0.05dps  | DC <2dps, AC < 0.1dps |
15-Dec-2021 17:22:47  | INF | ### | | RATE_Z_wodrivewCM         |       0.03dps|  0.04dps  | DC <2dps, AC < 0.1dps |
15-Dec-2021 17:22:50  | INF | ### | | CV_D_wodrivewCM in TADC   |       -2.97mV|   0.14mV  |  |
15-Dec-2021 17:22:51  | INF | ### | | CV_X_wodrivewCM in TADC   |       19.57mV|   0.34mV  |  |
15-Dec-2021 17:22:53  | INF | ### | | CV_Y_wodrivewCM in TADC   |        4.99mV|   0.32mV  |  |
15-Dec-2021 17:22:54  | INF | ### | | CV_Z_wodrivewCM in TADC   |       -1.29mV|   1.27mV  |  |
15-Dec-2021 17:22:54  | INF | ### | | CV_D_inTADC_diff          |        0.00mV|   0.00mV  | W/ CM minus W/O CM |
15-Dec-2021 17:22:54  | INF | ### | | CV_X_inTADC_diff          |        0.06mV|   0.00mV  | W/ CM minus W/O CM |
