11-Jan-2022 14:35:51  | FRM | ### | ----------------------------------------------------------------------------
11-Jan-2022 14:35:51  | FRM | ### | LMEx Framework Version: 4.0.0.12
11-Jan-2022 14:35:51  | FRM | ### | LMEx 32Bit
11-Jan-2022 14:35:51  | FRM | ### | LMEx Sensor Version: 1.1.11.3
11-Jan-2022 14:35:51  | FRM | ### | User: MIB1RT
11-Jan-2022 14:35:51  | FRM | ### | User level: EXTENDED
11-Jan-2022 14:35:51  | FRM | ### | Test bench         : CANONLY
11-Jan-2022 14:35:51  | FRM | ### | Host name          : RT-Z0KG0
11-Jan-2022 14:35:51  | FRM | ### | Unibox Id          : 100
11-Jan-2022 14:35:51  | FRM | ### | Mainboard Number   : -1
11-Jan-2022 14:35:51  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
11-Jan-2022 14:35:51  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007884_8D-22-015\04-El._Testing_at_RT_Accel_Gyro(3)\FA_4868
11-Jan-2022 14:35:51  | FRM | ### | Temporary file path: c:\TempMessdaten\\20220111143551\
11-Jan-2022 14:35:51  | FRM | ### | Movejob: deactivated
11-Jan-2022 14:35:51  | FRM | ### | TDMS ByteOrder: BigEndian
11-Jan-2022 14:35:51  | FRM | ### | TDMS language: german
11-Jan-2022 14:35:51  | FRM | ### | ----------------------------------------------------------------------------
11-Jan-2022 14:35:51  | FRM | ### | Info: temporary saving active
11-Jan-2022 14:35:51  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
11-Jan-2022 14:35:51  | FRM | ### | 
11-Jan-2022 14:35:51  | FRM | ### | ----------------------------------------------------------------------------
11-Jan-2022 14:35:51  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
11-Jan-2022 14:35:51  | FRM | ### | ----------------------------------------------------------------------------
11-Jan-2022 14:35:51  | FRM | ### | 
11-Jan-2022 14:35:52  | FRM | ### | Sensor Pos=1 Nr=1
11-Jan-2022 14:35:52  | FRM | ### | Sensor Pos=2 Nr=4868
11-Jan-2022 14:35:52  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
11-Jan-2022 14:35:52  | FRM | ### | Test initializeded
11-Jan-2022 14:35:52  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.77.lua
11-Jan-2022 14:35:54  | INF | ### | Paranoia power reset (TM)
11-Jan-2022 14:35:56  | SEN | 001 | module_id:12828
11-Jan-2022 14:35:56  | SEN | 001 | SNR:692872690705321c
11-Jan-2022 14:35:57  | SEN | 001 | USNR:0000H2NH52019028050KY
11-Jan-2022 14:35:57  | INF | ### | CRC 58987 crc read:58987
11-Jan-2022 14:35:57  | INF | ### | SensorNr1
11-Jan-2022 14:35:57  | INF | ### | 
11-Jan-2022 14:35:57  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
11-Jan-2022 14:35:59  | INF | ### | | RATE_X_wodrivewoCM        |      -0.01dps|  0.04dps  | DC <2dps, AC < 0.088dps |
11-Jan-2022 14:36:00  | INF | ### | | RATE_Y_wodrivewoCM        |       0.03dps|  0.05dps  | DC <2dps, AC < 0.088dps |
11-Jan-2022 14:36:00  | INF | ### | | RATE_Z_wodrivewoCM        |      -0.00dps|  0.04dps  | DC <2dps, AC < 0.088dps |
11-Jan-2022 14:36:01  | INF | ### | | Quad_X_wodrivewoCM        |       0.92dps|  0.39dps  | comment |
11-Jan-2022 14:36:01  | INF | ### | | Quad_Y_wodrivewoCM        |       1.33dps|  0.26dps  | comment |
11-Jan-2022 14:36:01  | INF | ### | | Quad_Z_wodrivewoCM        |      -0.42dps|  1.35dps  | comment |
11-Jan-2022 14:36:04  | INF | ### | | CV_D_wodrivewoCM in TADC  |        7.27mV|   0.13mV  |  |
11-Jan-2022 14:36:06  | INF | ### | | CV_X_wodrivewoCM in TADC  |       -7.20mV|   0.32mV  |  |
11-Jan-2022 14:36:07  | INF | ### | | CV_Y_wodrivewoCM in TADC  |       28.32mV|   0.31mV  |  |
11-Jan-2022 14:36:09  | INF | ### | | CV_Z_wodrivewoCM in TADC  |        9.86mV|   0.38mV  |  |
11-Jan-2022 14:36:09  | INF | ### | | RATE_X_wodrivewoCM_s30    |       -8.20mv|  -0.23mv  | pls compare it with CV_X_wodrivewoCM in TADC |
11-Jan-2022 14:36:09  | INF | ### | | RATE_Y_wodrivewoCM_s30    |       31.60mv|   0.15mv  | pls compare it with CV_Y_wodrivewoCM in TADC |
11-Jan-2022 14:36:10  | INF | ### | | RATE_Z_wodrivewoCM_s30    |        5.93mv|  -0.64mv  | pls compare it with CV_Z_wodrivewoCM in TADC |
11-Jan-2022 14:36:10  | INF | ### | | S30_CV_X_diff_wodrivewoCM |       -0.99mv|   0.00mv  |  |
11-Jan-2022 14:36:10  | INF | ### | | S30_CV_Y_diff_wodrivewoCM |        3.27mv|   0.00mv  |  |
11-Jan-2022 14:36:10  | INF | ### | | S30_CV_Z_diff_wodrivewoCM |       -3.92mv|   0.00mv  |  |
11-Jan-2022 14:36:12  | INF | ### | | RATE_X_wodrivewCM         |      -0.01dps|  0.04dps  | DC <2dps, AC < 0.1dps |
11-Jan-2022 14:36:12  | INF | ### | | RATE_Y_wodrivewCM         |       0.01dps|  0.05dps  | DC <2dps, AC < 0.1dps |
11-Jan-2022 14:36:12  | INF | ### | | RATE_Z_wodrivewCM         |       0.02dps|  0.04dps  | DC <2dps, AC < 0.1dps |
11-Jan-2022 14:36:14  | INF | ### | | CV_D_wodrivewCM in TADC   |        7.31mV|   0.11mV  |  |
11-Jan-2022 14:36:16  | INF | ### | | CV_X_wodrivewCM in TADC   |       -6.92mV|   0.34mV  |  |
11-Jan-2022 14:36:17  | INF | ### | | CV_Y_wodrivewCM in TADC   |       28.22mV|   0.34mV  |  |
11-Jan-2022 14:36:19  | INF | ### | | CV_Z_wodrivewCM in TADC   |        9.59mV|   1.36mV  |  |
11-Jan-2022 14:36:19  | INF | ### | | CV_D_inTADC_diff          |        0.04mV|   0.00mV  | W/ CM minus W/O CM |
11-Jan-2022 14:36:19  | INF | ### | | CV_X_inTADC_diff          |        0.28mV|   0.00mV  | W/ CM minus W/O CM |
11-Jan-2022 14:36:19  | INF | ### | | CV_Y_inTADC_diff          |       -0.10mV|   0.00mV  | W/ CM minus W/O CM |
