31-Jan-2022 15:29:29  | FRM | ### | ----------------------------------------------------------------------------
31-Jan-2022 15:29:29  | FRM | ### | LMEx Framework Version: 4.0.0.12
31-Jan-2022 15:29:29  | FRM | ### | LMEx 32Bit
31-Jan-2022 15:29:29  | FRM | ### | LMEx Sensor Version: 1.1.11.3
31-Jan-2022 15:29:29  | FRM | ### | User: MIB1RT
31-Jan-2022 15:29:29  | FRM | ### | User level: EXTENDED
31-Jan-2022 15:29:29  | FRM | ### | Test bench         : CANONLY
31-Jan-2022 15:29:29  | FRM | ### | Host name          : RT-Z0KG0
31-Jan-2022 15:29:29  | FRM | ### | Unibox Id          : 100
31-Jan-2022 15:29:29  | FRM | ### | Mainboard Number   : -1
31-Jan-2022 15:29:29  | FRM | ### | Measurement profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
31-Jan-2022 15:29:29  | FRM | ### | Final file path    : g:\DfsDE\LOC\Rt\BST\40_bst_lab\06_products\bmi284-lab\I007969_8D-22-051\04-El._Testing_at_RT_Accel_Gyro(3)\01_meas\FA_afterDrops
31-Jan-2022 15:29:29  | FRM | ### | Temporary file path: c:\TempMessdaten\\20220131152929\
31-Jan-2022 15:29:29  | FRM | ### | Movejob: deactivated
31-Jan-2022 15:29:29  | FRM | ### | TDMS ByteOrder: BigEndian
31-Jan-2022 15:29:29  | FRM | ### | TDMS language: german
31-Jan-2022 15:29:29  | FRM | ### | ----------------------------------------------------------------------------
31-Jan-2022 15:29:29  | FRM | ### | Info: temporary saving active
31-Jan-2022 15:29:29  | FRM | ### | -> Flag_SaveAndMoveLokalData: 1
31-Jan-2022 15:29:29  | FRM | ### | 
31-Jan-2022 15:29:29  | FRM | ### | ----------------------------------------------------------------------------
31-Jan-2022 15:29:29  | FRM | ### | Info: no tolerances set in profile or imported from SENSOR.EXE
31-Jan-2022 15:29:29  | FRM | ### | ----------------------------------------------------------------------------
31-Jan-2022 15:29:29  | FRM | ### | 
31-Jan-2022 15:29:29  | FRM | ### | Sensor Pos=1 Nr=1
31-Jan-2022 15:29:29  | FRM | ### | Sensor Pos=2 Nr=4922
31-Jan-2022 15:29:29  | FRM | ### | Sensor Pos=3 Nr=4923
31-Jan-2022 15:29:29  | FRM | ### | C:\LMEx\hl_treiber\CAN_lua.dll (Version 1.2.1.3) is loaded
31-Jan-2022 15:29:29  | FRM | ### | Test initializeded
31-Jan-2022 15:29:29  | FRM | ### | Profile: \\rt02fs07.de.bosch.com\laborpplib$\profile_bst\BMI284\00_Engineering\FailureAnalysis\bai284aa_FA_v0.78.lua
31-Jan-2022 15:29:31  | INF | ### | Paranoia power reset (TM)
31-Jan-2022 15:29:33  | SEN | 001 | module_id:4911
31-Jan-2022 15:29:33  | SEN | 001 | SNR:b0b680870703132f
31-Jan-2022 15:29:34  | SEN | 001 | USNR:0000H6K250004047019KY
31-Jan-2022 15:29:34  | INF | ### | CRC 57365 crc read:57365
31-Jan-2022 15:29:34  | INF | ### | SensorNr1
31-Jan-2022 15:29:34  | INF | ### | 
31-Jan-2022 15:29:34  | INF | ### | ||      Measurement         ||    Mean    ||      Std     ||  Comment     ||
31-Jan-2022 15:29:36  | INF | ### | | RATE_X_wodrivewoCM        |     -0.086dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 15:29:36  | INF | ### | | RATE_Y_wodrivewoCM        |      0.087dps|  0.05dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 15:29:36  | INF | ### | | RATE_Z_wodrivewoCM        |     -0.022dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 15:29:37  | INF | ### | | Quad_X_wodrivewoCM        |      1.124dps|  0.44dps  | -4dps< DC <4dps, AC < 0.8dps |
31-Jan-2022 15:29:37  | INF | ### | | Quad_Y_wodrivewoCM        |      1.333dps|  0.28dps  | -4dps< DC <4dps, AC < 0.8dps |
31-Jan-2022 15:29:38  | INF | ### | | Quad_Z_wodrivewoCM        |     -1.007dps|  1.13dps  | -4dps< DC <4dps, AC < 0.8dps |
31-Jan-2022 15:29:41  | INF | ### | | CV_D_wodrivewoCM in TADC  |       0.213mV|   0.16mV  | -50mV< DC <50mV, AC < 5mV |
31-Jan-2022 15:29:42  | INF | ### | | CV_X_wodrivewoCM in TADC  |      15.428mV|   0.34mV  | -150mV< DC <150mV, AC < 5mV |
31-Jan-2022 15:29:44  | INF | ### | | CV_Y_wodrivewoCM in TADC  |     -31.181mV|   0.32mV  | -150mV< DC <150mV, AC < 5mV |
31-Jan-2022 15:29:45  | INF | ### | | CV_Z_wodrivewoCM in TADC  |      15.447mV|   0.77mV  | -150mV< DC <150mV, AC < 5mV |
31-Jan-2022 15:29:48  | INF | ### | | RATE_X_wodrivewCM         |     -0.074dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 15:29:48  | INF | ### | | RATE_Y_wodrivewCM         |      0.087dps|  0.06dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 15:29:48  | INF | ### | | RATE_Z_wodrivewCM         |     -0.013dps|  0.04dps  | -2dps< DC <2dps, AC < 0.1dps |
31-Jan-2022 15:29:51  | INF | ### | | CV_D_wodrivewCM in TADC   |       0.327mV|   0.17mV  | -50mV< DC <50mV, AC < 5mV |
31-Jan-2022 15:29:52  | INF | ### | | CV_X_wodrivewCM in TADC   |      15.374mV|   0.31mV  | -150mV< DC <150mV, AC < 5mV |
31-Jan-2022 15:29:54  | INF | ### | | CV_Y_wodrivewCM in TADC   |     -31.546mV|   0.21mV  | -150mV< DC <150mV, AC < 5mV |
31-Jan-2022 15:29:55  | INF | ### | | CV_Z_wodrivewCM in TADC   |      15.750mV|   0.33mV  | -150mV< DC <150mV, AC < 5mV |
31-Jan-2022 15:29:55  | INF | ### | | CV_D_inTADC_diff          |       0.114mV|   0.00mV  | -2mV< DC <2mV |
31-Jan-2022 15:29:55  | INF | ### | | CV_X_inTADC_diff          |      -0.054mV|   0.00mV  | -2mV< DC <2mV |
31-Jan-2022 15:29:55  | INF | ### | | CV_Y_inTADC_diff          |      -0.365mV|   0.00mV  | -2mV< DC <2mV |
31-Jan-2022 15:29:55  | INF | ### | | CV_Z_inTADC_diff          |       0.303mV|   0.00mV  | -2mV< DC <2mV |
31-Jan-2022 15:29:58  | INF | ### | | CM_OFFSET_wodrive in TADC |       2.467mV|   0.08mV  | -50mV< DC <50mV, AC < 5mV |
31-Jan-2022 15:29:59  | INF | ### | | Aout(4k_en)               |     312.688mV|   1.71mV  | 50mV< DC <550mV, AC < 7.5mV |
